Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","Tietoja",
a6d1acde6e20d49a9d81f90622732227," ","Lentää Lukija",
5265418588dcc06751d8eaecec2c8e91," ","Olen pahoillani, mutta mahdollisia syitä on jokin virhe <br/>:<br/>1, failed siirtää soittolistoja. <br/>2, taka-ala jalostaa on sammuessa, käynnistää ohjelma ja yritä uudelleen",
7af2801e9e1449cf0453d00d34257c2d," ","palaute",
e4bc22662e23d1a831c68aed5332c419," ","Oma kirjahylly",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Kirja suositus",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Tuodut kirjoja (TXT, ja EPUB, FB2, YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","Nyt toistetaan",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Päivitä online-kirjoja",
b7ab64a7ff684cfca5e0a3d80880f279," ","Asetukset",
1f0e26f231153036a671ad2f933a27a5," ","Voidaan piilottaa asetettu tarkistus-painiketta",
bde6c81a3b0a603a7b5e6076022bd309," ","Hotelliin käsittelyssä luettelo on tyhjä",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Päivittää luettelon kaikki luvut",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Päivitä luettelo ja lataa seuraavissa luvuissa",
a03e5f2c05b83301fa39dc34b1746453," ","Antaa meille viiden tähden kotiin",
8554827fedb4de78bf8468538d4a8ee3," ","Viimeaikaiset reading",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Internet Etsi romaanista",
65602d35795175e0705fc6741f913d8f," ","Tuominen on käynnissä",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Kirjan tiedot",
357cd9b4ae444db10f171a0a7b400422," ","Minulla on",
ce299a0f63bffd68519d8a19c20e8dcb," ","Lisätietoja",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Kiinteä aloitus näytössä",
90b67b9235306593ddccbe9e7c6b217b," ","Lisää kirjanmerkki",
83d79edb934c031d5e90545b8d4d51d8," ","Auto Selaa",
a42be224ca6e69ada340d6dc5a300e46," ","Lopeta vierittäminen",
d09c379751c8ee1acf635d1b09652923," ","Taustalukemista",
d800fe938c9dde01729fe00c51a107ed," ","Luokat",
00a6ae0599ff039144806cb3266a903b," ","ei voi olla tyhjä",
14ede1b3aff131126cca56ec989ae922," ","Aloittaa tausta käsittelyssä ääneen tai tavallinen? Voit mennä oletusasetukset valitsemalla Aseta ääniasetukset",
af750e87dfda463f31b124cba06aec7a," ","Ensin käytöstä auto Selaa",
be93c95267d493e0ca36dd41e8aeb1db," ","Lataa täydellinen!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Lataa enää!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Imuroi seuraavissa luvuissa",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Ladataan {0}, {1}, (2) ei ole ladattu. Nykyinen lataaminen:",
1b60f059d3cd9ec288545faf95dc285b," ","Kirjoita kirjanmerkin nimi.",
cb5e100e5a9a3e7f6d1fd97512215282," ","virhe",
42010dfe34d331018d5eea58fa048f64," ","Ei koko näytön tilaan",
38b9440651a9409acc71403f02ddb7c8," ","Kirjoita \ Poistu koko näytön tilassa",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Sinulla ei ole asentaa Kiinan äänen paketin, siirry asetukset (ei ajaksi perustaminen) >ääniasetukset >Lisäasetukset, tarkista, onko ääni kieli Kiinan.",
a3e02fa1a6cdd74b97174003c1346827," ","Ensimmäisellä sivulla",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Edellinen",
a498d3d7ee7d084c3c8252068f73abe4," ","Siirry eteenpäin",
e33a1256b2d1414f61c0e753b0b12a63," ","Luku eteenpäin",
f3a072b2e7f2aab831d0908f294f135e," ","Jätä tämä liittymä ei lopeta lataamista.",
fc916ee83fad4c280a91aee8e5047efd," ","Ei näy Internet-yhteys!",
c3f07320c25b8a6686481dd26dad4da9," ","Valitse",
99b79007ca3cb8e86456776633bdd665,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Tärkeimmät tiedostot",
ef7985af75743875a4e0c248574b3eec," ","Kaikinpuolinen lukeneisuus",
b309c671672ff440f6abc6e86704b6ae,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Tärkeimmät tiedostot (suositeltava nopea lataus)",
6edb279de6e7061ce548d309a94d1210," ","Yö-tila: pois",
988df165cc538cd75492594fb43ecf00," ","Yö-tilassa: on",
f66be7a14a4547dc891689c33db53e59," ","Asetuksia",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Lataa tässä luvussa",
2255891b91172c11604f09dd4f4203db," ","Luku taaksepäin",
aa893ebdefd1af711a6c10c22165f334," ","Teksti puheeksi",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Lataus pysäytetty",
7faf231069c79a26652d68d676afb47a," ","Hypätä edistymistä",
c7b8533ff7e66c21435b0672710b6827," ","Kirjoita kelvollinen luku 0 ~ 100",
8de7fc44ad2f84fec1f59048652f6069,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Kokeilla ja ostaa nopea lataus",
6147ad1b487ea3175bf410f00e188ada,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Tärkeimmät tiedostot (mainonta, ostaa professional-versio poistaa)",
0c37fcef3acf12e53e5d2db36ab8ead5," ","Puhe on pysäytetty.",
b252282073cb5982f681f72fd96024f9," ","Sorry, ei voi käynnistää puheeksi!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","{0} on lisätty odotusjonoon.",
eaad7c2018aaef45a3af4a625890e3bc," ","Peruuttaa ja palata kotiin",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","On ollut joitakin ongelmia, yritä uudelleen! Jos virhe toistuu, yritä ladata lähde luku, korvata tai poistaa kirjanpidollinen download",
d91a4cba795fd26cb76a00d728ab2a63," ","Voi hankkia uutta sisältöä, yritä myöhemmin uudelleen",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Jotkin virheet Kun lataussivuille",
a3cfe7cbbcf71e7be2e766de325eae2d," ","Ohita ja jatka",
