Id,Notice,Value,
46b3931b9959c927df4fc65fdee94b07," ","Om",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Köp Professional Edition",
7af2801e9e1449cf0453d00d34257c2d," ","Feedback",
e4bc22662e23d1a831c68aed5332c419," ","Min bokhylla",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Bok rekommendation",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Importerade böcker",
7426054dcc62deafc8aabac89d3ac9d9," ","Spelas nu",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Att uppdatera online böcker",
b7ab64a7ff684cfca5e0a3d80880f279," ","Inställningar",
1f0e26f231153036a671ad2f933a27a5," ","Kan döljas i knappen granska i uppsättningen",
bde6c81a3b0a603a7b5e6076022bd309," ","Senaste Läslista är tom",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Uppdatera listan över alla kapitel",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Uppdatera listan och hämta alla de följande kapitlen",
a03e5f2c05b83301fa39dc34b1746453," ","Ge oss fem-stjärniga hem",
8554827fedb4de78bf8468538d4a8ee3," ","Senaste läsning",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Från Internet Sök roman",
65602d35795175e0705fc6741f913d8f," ","Importering pågår",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Bokinformation",
357cd9b4ae444db10f171a0a7b400422," ","Jag har det",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Fast till startskärmen",
90b67b9235306593ddccbe9e7c6b217b," ","Lägg till bokmärke",
83d79edb934c031d5e90545b8d4d51d8," ","Rulla automatiskt",
a42be224ca6e69ada340d6dc5a300e46," ","Sluta Bläddra",
d09c379751c8ee1acf635d1b09652923," ","Bakgrundsavläsningen",
d800fe938c9dde01729fe00c51a107ed," ","Kategorier",
00a6ae0599ff039144806cb3266a903b," ","Neka tomma",
14ede1b3aff131126cca56ec989ae922," ","Start bakgrund högläsning eller vanlig? Du kan gå till ljudinställningarna ange standardalternativen",
af750e87dfda463f31b124cba06aec7a," ","Först stänga av automatisk rullning",
be93c95267d493e0ca36dd41e8aeb1db," ","Ladda ner komplett!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Ladda ner stoppas!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Hämta följande kapitel",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Kapitlet {0} hämtas, totalt {1} kapitel, och kapitlet {2} hämtas inte.",
1b60f059d3cd9ec288545faf95dc285b," ","Ange namnet på bokmärket.",
cb5e100e5a9a3e7f6d1fd97512215282," ","Error",
42010dfe34d331018d5eea58fa048f64," ","Det gick inte att ange fullskärmsläge",
38b9440651a9409acc71403f02ddb7c8," ","Ange \ att avsluta helskärmsläge",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Du behöver inte installera filpaketet kinesiska röst, gå till inställningar (inte för att ställa in) >Röstinställningar >Avancerade inställningar, kontrollera om det röst-språket är kinesiska.",
a3e02fa1a6cdd74b97174003c1346827," ","Har nått första sidan",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Föreg.",
a498d3d7ee7d084c3c8252068f73abe4," ","Gå framåt",
e33a1256b2d1414f61c0e753b0b12a63," ","Nästa kapitel",
f3a072b2e7f2aab831d0908f294f135e," ","Lämna detta gränssnitt inte stoppa dataöverföring.",
fc916ee83fad4c280a91aee8e5047efd," ","Verkar inte vara ansluten till Internet!",
c3f07320c25b8a6686481dd26dad4da9," ","Vänligen välj",
ef7985af75743875a4e0c248574b3eec," ","Allmän läsning",
6edb279de6e7061ce548d309a94d1210," ","Nattläge: off",
988df165cc538cd75492594fb43ecf00," ","Nattläge: på",
f66be7a14a4547dc891689c33db53e59," ","Läser inställningar",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Hämta detta kapitel",
2255891b91172c11604f09dd4f4203db," ","Kapitel bakåt",
aa893ebdefd1af711a6c10c22165f334," ","Text till tal",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Nedladdningen stoppades",
7faf231069c79a26652d68d676afb47a," ","Hoppa framsteg",
c7b8533ff7e66c21435b0672710b6827," ","Vänligen ange ett giltigt nummer från 0 ~ 100",
0c37fcef3acf12e53e5d2db36ab8ead5," ","Tal har stoppats.",
b252282073cb5982f681f72fd96024f9," ","Tyvärr, det gick inte att starta den text till tal!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","För {0} har lagts till i nedladdningskön.",
eaad7c2018aaef45a3af4a625890e3bc," ","Avbryta och återvända hem",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Det har varit några problem, försök igen! Om felet kvarstår, prova att ladda ner källan för ett kapitel, ersätta eller ta bort en bok nedladdning",
d91a4cba795fd26cb76a00d728ab2a63," ","Tillfälligt inte kan få nytt innehåll, vänligen försök igen senare",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Vissa fel inträffade när nedladdningssida",
a3cfe7cbbcf71e7be2e766de325eae2d," ","Ignorera och fortsätt",
b2627e81115955337af3e69b65692a28,"You needn't translate the text. Unless you turn on the online book function for Chinese users","För {0} har lagts till i nedladdningskön.",
36711434d88f4d2fdb28b81ffb7ef6a5,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Nuvarande nedladdning pågår, vänligen sluta eller väntar på nedladdning att avsluta och sedan hämta det nya kapitlet",
0c6e5d82a03b167eaa58c09a2aa5b815," ","Vi har alla dåliga dagar",
5bddbcd4449b7bbfe3ed21c6c834ec44,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Lämna detta gränssnitt kommer att orsaka att kunna stoppa nedladdningen.",
67447f7e5d140719d13625e577004700," ","Bearbetning, vänligen vänta",
a14fa2166ed698f3d04061f57e5ab9b9," ","Lastning",
34bd73951b4fd3f310948d5ff0ab3441," ","Att välja mer än en",
a33ddd3b6531c3bd5d006e6fd65f1229," ","Att välja mer än en",
61242e9f754401607d81f5d2095cee3a," ","Bokhyllan Sök",
b9a403d9d7a86e2b033b852aff690ac4," ","Läser in...",
77401ea47594854b5c20f083047c33f5," ","Radera röstfil",
495c3889dfa3d011d7295d6976591dc6," ","Export till täcka",
f6e3abb8b9e7dd47e99f02e405709439," ","{0} {1} version",
7adb6458badf30672fd61b6ed9b9e3b5," ","Delar av programvaran kan vara från nätverket, om du inkräktar på dina rättigheter, vänligen skicka ett meddelande till yfreader@yinyue200.com <br/> <br/>eller tredje parts produktnamn kan vara varumärken som tillhör respektive ägare",
d6c5c00bec1027a39b4b3919ba68da37," ","Licensavtal",
306a62944b3a5dabaf7035ce45b47267," ","Sekretesspolicy",
78e2b99ca31ea4fcce81fb53de82e6c3," ","Boken finns inte eller har tagits bort",
01927eac784debb204dea4d21d1b8cd8," ","information",
a4db069238d8d89f372b686769c2a604," ","Kategorier",
ed091b47af84c07cfe969247e61a1f15,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Växla till källan",
987bdc9d763d9656ded5e0253d28f770,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Du måste klicka på katalog sidan i ""switch till denna källa"" ska gälla",
06077a433c30fb3b8dce7ae5996f619a," ","Välj en plats",
74a7475cad9677ba41b4ccbc6a222d8f,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Hämta alla",
b8134f85a74b3920ff131c916dbf071d,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Introduktion till nätverksbelastning",
2f4b2e23ac9742c76ce4cf15dd66433f,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Hämta källkodspaketet: {0}",
80a0d7c704dd277483df1b4f8eb961d9," ","Uppdatera avsnittet",
5ab8a6b8508a710d02102eec7184a452," ","Misslyckades!",
ca427b3f4b5b4e4018787e96a7920573,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Ändra källa att hämta romaner",
c98a3f50a5d9959de819145f22202016," ","Detta är en lokal Importera böcker",
3102be5b9306de12b8bd645c06fa585e,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Jag är ledsen, men ett kapitel listdata är inte giltig.",
5a65aee8789bf00cc8241a2f6bfb544d,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Jag är ledsen, fel tolkning sektioner lista data.",
72e4c614a827ae7172b0f2db5e945869," ","bokmärke",
8c10fdaffa1194375415263aec016f6c," ","Avsnitten flytta längst ned i en lista",
adc5a4368fa48441d2fc6eeea059e1f4," ","Kapitellistan till bokmärke",
53b347b7048f7abf4c9f35552ac5c298," ","Kapitel lista topp",
beb3c7b9b84b19abbea4a52b9a0a1cee,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Återställningen är klar! Klicka på OK att återgå till hyllorna!",
364b3c4617ce8abd033a23ca16710e1f," ","Oväntat fel",
8981f0b224cd1fbf94ed9f0811732b32," ","Fräschar upp kapitlen felet",
f3cd462c40a8f408171cede0fa6ddf94," ","dela",
2659c9139ee8bdd4d0504795c8db8b9a," ","Dela på?",
74004a25e517903140e99be92654a041," ","Jag är ledsen, men dela misslyckande...... Felkod: {0}",
2ea379700b3589b6ac480ea8e5ebc512," ","Andra delar",
610fac2c6e60970a6ba71927f0c1ae3d," ","Här är en bra bok som du kan också titta på {0}",
d50e625497218b93d1249e5dae53f8cc," ","Dela appen",
