Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","Informazioni su",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Acquistare Professional Edition",
7af2801e9e1449cf0453d00d34257c2d," ","feedback",
e4bc22662e23d1a831c68aed5332c419," ","La mia libreria",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Raccomandazione del libro",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Libri importati",
7426054dcc62deafc8aabac89d3ac9d9," ","In esecuzione",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Per aggiornare la documentazione in linea",
b7ab64a7ff684cfca5e0a3d80880f279," ","impostazioni",
1f0e26f231153036a671ad2f933a27a5," ","Può essere nascosto nel pulsante modifica nel set",
bde6c81a3b0a603a7b5e6076022bd309," ","Recente elenco di lettura è vuota",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Aggiornare l'elenco di tutti i capitoli",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Aggiornare l'elenco e Scarica tutti i capitoli seguenti",
a03e5f2c05b83301fa39dc34b1746453," ","Ci dara ' cinque stelle Casa",
8554827fedb4de78bf8468538d4a8ee3," ","Lettura recente",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Dal romanzo di ricerca Internet",
65602d35795175e0705fc6741f913d8f," ","Importazione in corso",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Informazioni sul libro",
357cd9b4ae444db10f171a0a7b400422," ","Ho capito",
ce299a0f63bffd68519d8a19c20e8dcb," ","Ulteriori informazioni",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Fissato alla schermata start",
90b67b9235306593ddccbe9e7c6b217b," ","Aggiungi segnalibro",
83d79edb934c031d5e90545b8d4d51d8," ","Scorrimento automatico",
a42be224ca6e69ada340d6dc5a300e46," ","Interrompere lo scorrimento",
d09c379751c8ee1acf635d1b09652923," ","Lettura di sfondo",
d800fe938c9dde01729fe00c51a107ed," ","Categorie",
00a6ae0599ff039144806cb3266a903b," ","deve essere specificato",
