Id,Notice,Value,
46b3931b9959c927df4fc65fdee94b07," ","के बारे में",
a6d1acde6e20d49a9d81f90622732227," ","यू फी रीडर",
5265418588dcc06751d8eaecec2c8e91," ","व्यावसायिक संस्करण खरीदें",
7af2801e9e1449cf0453d00d34257c2d," ","प्रतिक्रिया",
e4bc22662e23d1a831c68aed5332c419," ","मेरे पुस्ताक तख्ता",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","पुस्तक सिफारिश",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","आयातित किताबें",
7426054dcc62deafc8aabac89d3ac9d9," ","अभी चलने वाले",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","ऑनलाइन किताबें ताज़ा करने के लिए",
b7ab64a7ff684cfca5e0a3d80880f279," ","सेटिंग",
1f0e26f231153036a671ad2f933a27a5," ","सेट में की समीक्षा करें बटन में छिपा हो सकता है",
bde6c81a3b0a603a7b5e6076022bd309," ","हाल ही में पढ़ने सूची खाली है",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","सभी अध्यायों की सूची ताज़ा करें",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","सूची ताज़ा करें और सभी निम्न अध्याय डाउनलोड",
a03e5f2c05b83301fa39dc34b1746453," ","हमें पांच-सितारा घर दे",
8554827fedb4de78bf8468538d4a8ee3," ","हाल ही में पढ़ने",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","इंटरनेट खोज उपन्यास से",
65602d35795175e0705fc6741f913d8f," ","आयात कर रहा है",
dab7c7312c2b67e5fb662ee8b6cec88f," ","पुस्तिका जानकारी",
357cd9b4ae444db10f171a0a7b400422," ","मैं यह मिल गया है",
6b8cf70efcf4cb1e6a0b877285fc722a," ","प्रारंभ स्क्रीन करने के लिए ठीक किया गया",
90b67b9235306593ddccbe9e7c6b217b," ","बुकमार्क &जोड़ें",
83d79edb934c031d5e90545b8d4d51d8," ","ऑटो स्क्रॉल",
a42be224ca6e69ada340d6dc5a300e46," ","स्क्रॉल बंद करो",
d09c379751c8ee1acf635d1b09652923," ","पृष्ठभूमि पढ़ना",
d800fe938c9dde01729fe00c51a107ed," ","श्रेणियाँ",
00a6ae0599ff039144806cb3266a903b," ","रिक्त नहीं हो सकता",
14ede1b3aff131126cca56ec989ae922," ","जोर से पढ़ना प्रारंभ पृष्ठभूमि या साधारण? आप डिफ़ॉल्ट विकल्प सेट करने के लिए ऑडियो सेटिंग्स पर जाएँ कर सकते हैं",
af750e87dfda463f31b124cba06aec7a," ","सबसे पहले ऑटो स्क्रॉल बंद चालू करें",
be93c95267d493e0ca36dd41e8aeb1db," ","पूर्ण डाउनलोड करें!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","डाउनलोड बंद कर दिया!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","निम्नलिखित अध्यायों डाउनलोड",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","{0} अध्याय डाउनलोड हो रहा है, कुल {1} अध्याय हैं, और {2} अध्याय डाउनलोड नहीं किया गया है ।",
1b60f059d3cd9ec288545faf95dc285b," ","बुकमार्क का नाम दर्ज करें।",
cb5e100e5a9a3e7f6d1fd97512215282," ","त्रुटि",
42010dfe34d331018d5eea58fa048f64," ","फुल स्क्रीन मोड में प्रवेश करने में विफल रहा",
38b9440651a9409acc71403f02ddb7c8," ","दर्ज करें \ पूर्ण स्क्रीन मोड से बाहर निकलें करने के लिए",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","आपके पास नहीं चीनी आवाज पैकेज़ को स्थापित करने के लिए, कृपया सेटिंग्स पर जाएँ (सेट नहीं के लिए) >आवाज >सेटिंग्स उन्नत सेटिंग्स, जाँचें कि क्या आवाज भाषा चीनी है।",
a3e02fa1a6cdd74b97174003c1346827," ","पहले पृष्ठ तक पहुँच चुके हैं",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","पिछला",
a498d3d7ee7d084c3c8252068f73abe4," ","आगे जाएँ",
e33a1256b2d1414f61c0e753b0b12a63," ","अगले अध्याय",
f3a072b2e7f2aab831d0908f294f135e," ","छोड़ दो इस अंतरफलक डाउनलोड करना बंद नहीं करता है।",
fc916ee83fad4c280a91aee8e5047efd," ","इंटरनेट से कनेक्ट करने के लिए प्रकट नहीं होता है!",
c3f07320c25b8a6686481dd26dad4da9," ","कृपया चयन करें",
ef7985af75743875a4e0c248574b3eec," ","सामान्य पठन",
6edb279de6e7061ce548d309a94d1210," ","रात मोड: बंद",
988df165cc538cd75492594fb43ecf00," ","रात मोड: पर",
f66be7a14a4547dc891689c33db53e59," ","सेटिंग्स को पढ़ने",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","इस अध्याय डाउनलोड",
2255891b91172c11604f09dd4f4203db," ","पिछले अध्याय",
aa893ebdefd1af711a6c10c22165f334," ","पाठ से भाषण",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","डाउनलोड रोका गया",
7faf231069c79a26652d68d676afb47a," ","प्रगति कूद",
