Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","關於",
a6d1acde6e20d49a9d81f90622732227," ","越飛閱讀",
5265418588dcc06751d8eaecec2c8e91," ","購買專業版",
7af2801e9e1449cf0453d00d34257c2d," ","意見反應",
e4bc22662e23d1a831c68aed5332c419," ","我的書架",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","圖書推薦",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","網址解析",
df007455f507ccf34d95e6fe7dd56796," ","導入書籍(TXT、EPUB、FB2、YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","現正播放",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","一鍵刷新網路書籍",
b7ab64a7ff684cfca5e0a3d80880f279," ","設定",
1f0e26f231153036a671ad2f933a27a5," ","在設置中可以隱蔽本評價按鈕",
bde6c81a3b0a603a7b5e6076022bd309," ","最近閱讀清單是空的",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","刷新所有章節清單",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","刷新清單並下載所有後續章節",
a03e5f2c05b83301fa39dc34b1746453," ","給我們五星好評吧",
8554827fedb4de78bf8468538d4a8ee3," ","最近閱讀",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","從互聯網搜索小說",
65602d35795175e0705fc6741f913d8f," ","正在匯入",
dab7c7312c2b67e5fb662ee8b6cec88f," ","書籍資訊",
357cd9b4ae444db10f171a0a7b400422," ","我知道了",
ce299a0f63bffd68519d8a19c20e8dcb," ","其他資訊",
6b8cf70efcf4cb1e6a0b877285fc722a," ","固定到開始螢幕",
90b67b9235306593ddccbe9e7c6b217b," ","新增書籤",
83d79edb934c031d5e90545b8d4d51d8," ","自動滾屏",
a42be224ca6e69ada340d6dc5a300e46," ","停止滾屏",
d09c379751c8ee1acf635d1b09652923," ","後臺朗讀",
d800fe938c9dde01729fe00c51a107ed," ","類別",
00a6ae0599ff039144806cb3266a903b," ","不可為空白",
14ede1b3aff131126cca56ec989ae922," ","啟動後臺朗讀還是普通朗讀？ 可以轉到語音設置來設置預設選項",
af750e87dfda463f31b124cba06aec7a," ","請先關閉自動滾屏",
be93c95267d493e0ca36dd41e8aeb1db," ","下載完成！",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","下載已停止！",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","下載後續章節",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","正在下載第{0}章，共{1}章，還有{2}章未下載。 當前下載模式：",
1b60f059d3cd9ec288545faf95dc285b," ","輸入書簽名稱。",
cb5e100e5a9a3e7f6d1fd97512215282," ","錯誤",
42010dfe34d331018d5eea58fa048f64," ","進入全屏模式失敗",
38b9440651a9409acc71403f02ddb7c8," ","進入\退出全屏模式",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","您沒有安裝中文語音包，請前往設置(不是閱讀設置)>語音設置>高級設置，檢查語音語言是否為中文。",
a3e02fa1a6cdd74b97174003c1346827," ","已到達第一頁",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","上一頁",
a498d3d7ee7d084c3c8252068f73abe4," ","下一頁",
e33a1256b2d1414f61c0e753b0b12a63," ","下一章",
f3a072b2e7f2aab831d0908f294f135e," ","離開本介面不會導致下載停止。",
fc916ee83fad4c280a91aee8e5047efd," ","似乎未連接到互聯網！",
c3f07320c25b8a6686481dd26dad4da9," ","請選擇",
99b79007ca3cb8e86456776633bdd665,"You needn't translate the text. Unless you turn on the online book function for Chinese users","普通下載",
ef7985af75743875a4e0c248574b3eec," ","普通朗讀",
b309c671672ff440f6abc6e86704b6ae,"You needn't translate the text. Unless you turn on the online book function for Chinese users","普通下載(建議使用快速下載)",
6edb279de6e7061ce548d309a94d1210," ","夜間模式：關",
988df165cc538cd75492594fb43ecf00," ","夜間模式：開",
f66be7a14a4547dc891689c33db53e59," ","閱讀設置",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","重新下載本章",
2255891b91172c11604f09dd4f4203db," ","上一章",
aa893ebdefd1af711a6c10c22165f334," ","語音朗讀",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","停止下載",
c7b8533ff7e66c21435b0672710b6827," ","請輸入0~100之間的有效數字",
8de7fc44ad2f84fec1f59048652f6069,"You needn't translate the text. Unless you turn on the online book function for Chinese users","試用或購買快速下載功能",
6147ad1b487ea3175bf410f00e188ada,"You needn't translate the text. Unless you turn on the online book function for Chinese users","快速下載(帶廣告,可購買專業版去除)",
0c37fcef3acf12e53e5d2db36ab8ead5," ","語音朗讀已停止。",
b252282073cb5982f681f72fd96024f9," ","很抱歉，無法啟動語音朗讀！",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","已將《{0}》等添加到下載佇列。",
eaad7c2018aaef45a3af4a625890e3bc," ","取消並返回首頁",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","出現了一些問題,請重試！ 如果持續出錯，請嘗試換一個章節、更換下載源或者刪除本書重新下載",
d91a4cba795fd26cb76a00d728ab2a63," ","暫時無法獲取小說內容，請稍後重試",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","下載章節時出現了一些錯誤",
a3cfe7cbbcf71e7be2e766de325eae2d," ","略過並繼續",
b2627e81115955337af3e69b65692a28,"You needn't translate the text. Unless you turn on the online book function for Chinese users","已將《{0}》添加到下載佇列。",
36711434d88f4d2fdb28b81ffb7ef6a5,"You needn't translate the text. Unless you turn on the online book function for Chinese users","當前有下載任務正在進行，請先停止或等待下載任務完成再下載新章節",
0c6e5d82a03b167eaa58c09a2aa5b815," ","我們都有不順利的時候",
