Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","Névjegy",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Vesz Profi kiadás",
7af2801e9e1449cf0453d00d34257c2d," ","Visszajelzés",
e4bc22662e23d1a831c68aed5332c419," ","Saját könyvespolc",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Könyv ajánlása",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Importált könyvek (TXT, és EPUB, FB2, YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","Most játszott",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Frissíteni az online könyvek",
b7ab64a7ff684cfca5e0a3d80880f279," ","Gépház",
1f0e26f231153036a671ad2f933a27a5," ","A felülvizsgálat gomb a készlet rejtett",
bde6c81a3b0a603a7b5e6076022bd309," ","Legutóbbi olvasó oldalra dől üres",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Frissítés minden fejezeteinek listája",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Frissítse a listát, és töltse le a következő fejezetek",
a03e5f2c05b83301fa39dc34b1746453," ","Nekünk öt-csillag",
8554827fedb4de78bf8468538d4a8ee3," ","Legutóbbi reading",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Az internetes keresés új",
65602d35795175e0705fc6741f913d8f," ","Importálás folyamatban",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Könyv adatait",
357cd9b4ae444db10f171a0a7b400422," ","Már megvan",
ce299a0f63bffd68519d8a19c20e8dcb," ","További információ",
6b8cf70efcf4cb1e6a0b877285fc722a," ","A kezdőképernyőn rögzített",
90b67b9235306593ddccbe9e7c6b217b," ","Könyvjelző felvétele",
83d79edb934c031d5e90545b8d4d51d8," ","Automatikus görgetés",
a42be224ca6e69ada340d6dc5a300e46," ","Megáll a görgetés",
d09c379751c8ee1acf635d1b09652923," ","Háttér",
d800fe938c9dde01729fe00c51a107ed," ","Kategóriák",
00a6ae0599ff039144806cb3266a903b," ","Üres tiltása",
14ede1b3aff131126cca56ec989ae922," ","Start háttér felolvasott vagy közönséges? Akkor megy a hang beállításokat az alapértelmezett beállítások",
af750e87dfda463f31b124cba06aec7a," ","1. Kapcsolja ki az automatikus görgetés",
be93c95267d493e0ca36dd41e8aeb1db," ","Töltse le a teljes!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Megállt a letöltés!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Töltse le a következő fejezetek",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Letöltés {0}, {1}, (2) nem lett letöltve. Jelenlegi Letöltések:",
1b60f059d3cd9ec288545faf95dc285b," ","Írja be a könyvjelző nevét.",
cb5e100e5a9a3e7f6d1fd97512215282," ","hiba",
42010dfe34d331018d5eea58fa048f64," ","Nem tudta teljes képernyős módba",
38b9440651a9409acc71403f02ddb7c8," ","Írja be \ teljes képernyős módból való kilépéshez",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Nem kell telepíteni a kínai hang csomag, lépjen be a beállítások (nem a beállítása) >hang beállítások >speciális beállításokat, ellenőrizze, hogy a hang nyelve kínai.",
a3e02fa1a6cdd74b97174003c1346827," ","Elérte az első oldalon",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Előző",
a498d3d7ee7d084c3c8252068f73abe4," ","Előre",
e33a1256b2d1414f61c0e753b0b12a63," ","Következő fejezetre",
f3a072b2e7f2aab831d0908f294f135e," ","Ez a felület nem megáll letöltő szabadság.",
fc916ee83fad4c280a91aee8e5047efd," ","Nem feltűnik-hoz lenni összekapcsolt-hoz Internet!",
c3f07320c25b8a6686481dd26dad4da9," ","Kérjük, válassza ki",
99b79007ca3cb8e86456776633bdd665,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Általános letöltések",
ef7985af75743875a4e0c248574b3eec," ","Általános olvasó",
b309c671672ff440f6abc6e86704b6ae,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Általános letöltések (ajánlott gyors letöltés)",
6edb279de6e7061ce548d309a94d1210," ","Éjszakai mód: off",
988df165cc538cd75492594fb43ecf00," ","Éjszakai mód: a",
f66be7a14a4547dc891689c33db53e59," ","Beállítások",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Ez a fejezet letöltése",
2255891b91172c11604f09dd4f4203db," ","Az előző fejezetben",
aa893ebdefd1af711a6c10c22165f334," ","Szöveg-beszéd átalakítás",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","A letöltés leállt",
7faf231069c79a26652d68d676afb47a," ","Ugrás a haladás",
c7b8533ff7e66c21435b0672710b6827," ","Adjon meg egy érvényes számot 0 ~ 100",
8de7fc44ad2f84fec1f59048652f6069,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Kipróbálni vagy megvásárolni a gyors letöltés",
6147ad1b487ea3175bf410f00e188ada,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Általános letöltések (reklám, megvásárol a profi változat-hoz eltávolít)",
0c37fcef3acf12e53e5d2db36ab8ead5," ","Leállt a beszédfelismerés.",
b252282073cb5982f681f72fd96024f9," ","Sajnáljuk, nem lehet elindítani a szöveg-beszéd átalakítás!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","A(z) {0} került fel a letöltési sor.",
eaad7c2018aaef45a3af4a625890e3bc," ","Visszatér haza",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Volt néhány probléma, legyen szíves megpróbál újra! Ha a hiba továbbra is fennáll, próbálja meg letölteni a forrás egy fejezetet, cserélheti ki vagy törölje a könyv Letöltés",
d91a4cba795fd26cb76a00d728ab2a63," ","Átmenetileg nem tudja, hogy új tartalmat, legyen szíves megpróbál újra később",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Néhány hiba akkor történt, mikor letölt rész",
a3cfe7cbbcf71e7be2e766de325eae2d," ","Figyelmen kívül hagyás és folytatás",
b2627e81115955337af3e69b65692a28,"You needn't translate the text. Unless you turn on the online book function for Chinese users","A(z) {0} került fel a letöltési sor.",
36711434d88f4d2fdb28b81ffb7ef6a5,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Jelenlegi Letöltés folyamatban van, állítsa le vagy várakozás-re letölt-hoz Befejezés és töltse le az új fejezet",
0c6e5d82a03b167eaa58c09a2aa5b815," ","Mindannyiunknak megvan a rossz napok",
5bddbcd4449b7bbfe3ed21c6c834ec44,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Szabadság ez illesztő akarat okoz a letölt-hoz megáll.",
67447f7e5d140719d13625e577004700," ","Várjon, feldolgozás,",
a14fa2166ed698f3d04061f57e5ab9b9," ","Betöltése",
34bd73951b4fd3f310948d5ff0ab3441," ","Válasszon több mint",
a33ddd3b6531c3bd5d006e6fd65f1229," ","Válasszon több mint",
61242e9f754401607d81f5d2095cee3a," ","Könyvespolc-keresés",
b9a403d9d7a86e2b033b852aff690ac4," ","Betöltés...",
77401ea47594854b5c20f083047c33f5," ","Csak a hang fájl törlése",
495c3889dfa3d011d7295d6976591dc6," ","Export fedezésére",
f6e3abb8b9e7dd47e99f02e405709439," ","a(z) {0} {1} változat",
7adb6458badf30672fd61b6ed9b9e3b5," ","A szoftver része lehet a hálózatról, ha Ön sérti a jogait, legyen szíves küld egy üzenetet a yfreader@yinyue200.com <br/> <br/>, illetve külső termék védjegye lehet a tulajdonosuk",
d6c5c00bec1027a39b4b3919ba68da37," ","Licencszerződés",
306a62944b3a5dabaf7035ce45b47267," ","adatvédelmi nyilatkozat",
78e2b99ca31ea4fcce81fb53de82e6c3," ","A könyv nem létezik vagy törölték",
01927eac784debb204dea4d21d1b8cd8," ","infó",
a4db069238d8d89f372b686769c2a604," ","Kategóriák",
ed091b47af84c07cfe969247e61a1f15,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Váltson a forrás",
987bdc9d763d9656ded5e0253d28f770,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Kattintson a ""váltás az ebből a forrásból"" könyvtár oldalán kell érvénybe",
06077a433c30fb3b8dce7ae5996f619a," ","Válasszon helyet",
