Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","Sobre",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Comprar a edição profissional",
7af2801e9e1449cf0453d00d34257c2d," ","comentários",
e4bc22662e23d1a831c68aed5332c419," ","Minha estante",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Recomendação de livro",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Livros importados",
7426054dcc62deafc8aabac89d3ac9d9," ","Em Execução",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Para atualizar os livros on-line",
b7ab64a7ff684cfca5e0a3d80880f279," ","Configurações",
1f0e26f231153036a671ad2f933a27a5," ","Pode ser escondido no botão revisão no conjunto",
bde6c81a3b0a603a7b5e6076022bd309," ","Lista de leitura recente está vazia",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Atualizar a lista de todos os capítulos",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Atualizar a lista e baixar todos os capítulos seguintes",
a03e5f2c05b83301fa39dc34b1746453," ","Dê-na casa de cinco estrelas",
8554827fedb4de78bf8468538d4a8ee3," ","Leitura recente",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Do romance de busca de Internet",
65602d35795175e0705fc6741f913d8f," ","Importando",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Informações do livro",
357cd9b4ae444db10f171a0a7b400422," ","Já anotei",
ce299a0f63bffd68519d8a19c20e8dcb," ","Dê-me mais informações",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Fixo para a tela de início",
90b67b9235306593ddccbe9e7c6b217b," ","Adicionar Indicador",
83d79edb934c031d5e90545b8d4d51d8," ","Rolagem automática",
a42be224ca6e69ada340d6dc5a300e46," ","Parar rolagem",
d09c379751c8ee1acf635d1b09652923," ","Leitura de plano de fundo",
d800fe938c9dde01729fe00c51a107ed," ","Categorias",
00a6ae0599ff039144806cb3266a903b," ","não pode ficar em branco",
14ede1b3aff131126cca56ec989ae922," ","Começar fundo lendo em voz alta ou normal? Você pode ir para as configurações de áudio para definir as opções padrão",
af750e87dfda463f31b124cba06aec7a," ","Primeiro desligue a rolagem automática",
be93c95267d493e0ca36dd41e8aeb1db," ","Download completo!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Parou de baixar!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Baixar os capítulos seguintes",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Baixar {0}, {1}, {2} não foi baixado. Downloads atuais:",
1b60f059d3cd9ec288545faf95dc285b," ","Digite o nome do marcador.",
cb5e100e5a9a3e7f6d1fd97512215282," ","erro",
42010dfe34d331018d5eea58fa048f64," ","Falha ao entrar no modo de tela cheia",
38b9440651a9409acc71403f02ddb7c8," ","Digite \ para sair do modo tela cheia",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Você não tem que instalar o pacote de voz chinesa, por favor, vá para as configurações (não para a criação) configurações de voz > >configurações avançadas, verifique se o idioma de voz é chinês.",
a3e02fa1a6cdd74b97174003c1346827," ","Chegou a primeira página",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Ant",
a498d3d7ee7d084c3c8252068f73abe4," ","Avançar",
e33a1256b2d1414f61c0e753b0b12a63," ","Próximo capítulo",
f3a072b2e7f2aab831d0908f294f135e," ","Embora que essa interface não parar de baixar.",
fc916ee83fad4c280a91aee8e5047efd," ","Parece não estar conectado à Internet!",
c3f07320c25b8a6686481dd26dad4da9," ","Por favor selecione",
99b79007ca3cb8e86456776633bdd665,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Downloads gerais",
ef7985af75743875a4e0c248574b3eec," ","Leitura geral",
b309c671672ff440f6abc6e86704b6ae,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Downloads gerais (download rápido recomendado)",
6edb279de6e7061ce548d309a94d1210," ","Modo noturno: fora",
988df165cc538cd75492594fb43ecf00," ","Modo noturno: na",
f66be7a14a4547dc891689c33db53e59," ","Configurações de leitura",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Baixar este capítulo",
2255891b91172c11604f09dd4f4203db," ","Voltar um capítulo",
aa893ebdefd1af711a6c10c22165f334," ","Texto em fala",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Download interrompido",
7faf231069c79a26652d68d676afb47a," ","Progresso de salto",
c7b8533ff7e66c21435b0672710b6827," ","Por favor, insira um número válido de 0 ~ 100",
8de7fc44ad2f84fec1f59048652f6069,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Tente ou comprar download rápido",
6147ad1b487ea3175bf410f00e188ada,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Downloads gerais (publicidade, comprar a versão profissional para remover)",
0c37fcef3acf12e53e5d2db36ab8ead5," ","Discurso foi interrompido.",
b252282073cb5982f681f72fd96024f9," ","Sinto muito, não é possível iniciar o texto para fala!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","Do {0} foi adicionado para a fila de transferência.",
eaad7c2018aaef45a3af4a625890e3bc," ","Cancelar e voltar para casa",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Tem havido alguns problemas, por favor tente novamente! Se o erro persistir, tente baixar a fonte para um capítulo, substituir ou excluir um livro download",
d91a4cba795fd26cb76a00d728ab2a63," ","Temporariamente incapaz de obter o novo conteúdo, por favor, tente novamente mais tarde",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Ocorreram alguns erros quando a seção de download",
a3cfe7cbbcf71e7be2e766de325eae2d," ","Ignorar e Continuar",
b2627e81115955337af3e69b65692a28,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Do {0} foi adicionado para a fila de transferência.",
36711434d88f4d2fdb28b81ffb7ef6a5,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Baixar atual está em andamento, por favor pare ou esperando para download para terminar e depois baixar o novo capítulo",
0c6e5d82a03b167eaa58c09a2aa5b815," ","Todos temos dias ruins",
5bddbcd4449b7bbfe3ed21c6c834ec44,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Embora essa interface fará com que o download parar.",
