Id,Notice,Value,
46b3931b9959c927df4fc65fdee94b07," ","バージョン情報",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","プロ版を購入します。",
7af2801e9e1449cf0453d00d34257c2d," ","フィードバック",
e4bc22662e23d1a831c68aed5332c419," ","私の本棚",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","お勧めの書籍",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","書籍を導入する ",
7426054dcc62deafc8aabac89d3ac9d9," ","プレイ ビュー",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","オンライン ブックを更新するのには",
b7ab64a7ff684cfca5e0a3d80880f279," ","設定",
1f0e26f231153036a671ad2f933a27a5," ","セットのレビュー ボタンで非表示にできます。",
bde6c81a3b0a603a7b5e6076022bd309," ","最近の読書リストが空",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","すべての章のリストを更新します。",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","リストを更新し、すべての次の章をダウンロード",
a03e5f2c05b83301fa39dc34b1746453," ","5 つ星の家に私たちを与える",
8554827fedb4de78bf8468538d4a8ee3," ","最近の読書",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","インターネット検索の小説から",
65602d35795175e0705fc6741f913d8f," ","インポート中",
dab7c7312c2b67e5fb662ee8b6cec88f," ","書籍の情報",
357cd9b4ae444db10f171a0a7b400422," ","それを持っています。",
6b8cf70efcf4cb1e6a0b877285fc722a," ","スタート画面に固定",
90b67b9235306593ddccbe9e7c6b217b," ","ブックマークの追加",
83d79edb934c031d5e90545b8d4d51d8," ","自動スクロール",
a42be224ca6e69ada340d6dc5a300e46," ","スクロールを停止します。",
d09c379751c8ee1acf635d1b09652923," ","背景読書",
d800fe938c9dde01729fe00c51a107ed," ","カテゴリ",
00a6ae0599ff039144806cb3266a903b," ","を空にすることはできません。",
14ede1b3aff131126cca56ec989ae922," ","声を出して読むスタートの背景や普通ですか。 既定のオプションを設定するオーディオ設定に行くことができます。",
af750e87dfda463f31b124cba06aec7a," ","最初に自動スクロールをオフ",
be93c95267d493e0ca36dd41e8aeb1db," ","ダウンロードが完了しました!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","ダウンロードの中止!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","次の章をダウンロードします。",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","{0} の章のダウンロード中、{1} の章の合計と {2} 章はダウンロードされません。",
1b60f059d3cd9ec288545faf95dc285b," ","ブックマーク名を入力します。",
cb5e100e5a9a3e7f6d1fd97512215282," ","エラー",
42010dfe34d331018d5eea58fa048f64," ","全画面表示モードを入力できませんでした。",
38b9440651a9409acc71403f02ddb7c8," ","入力 \ フルスクリーン モードを終了するには",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","中国語音声パッケージをインストール、してください (ない設定) の設定に移動する必要はありません>のボイス設定>詳細設定、音声言語が中国語であるかどうかを確認してください。",
a3e02fa1a6cdd74b97174003c1346827," ","最初のページに達しています。",
