Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","O aplikaci",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Koupit Professional Edition",
7af2801e9e1449cf0453d00d34257c2d," ","Váš názor",
e4bc22662e23d1a831c68aed5332c419," ","Moje Knihovnička",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Rezervace doporučení",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Dovezené knihy (TXT a EPUB, FB2, YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","Přehrávání",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Chcete-li aktualizovat online knihy",
b7ab64a7ff684cfca5e0a3d80880f279," ","Nastavení",
1f0e26f231153036a671ad2f933a27a5," ","Může být skryté v recenzi tlačítka v sadě",
bde6c81a3b0a603a7b5e6076022bd309," ","Poslední čtení seznam je prázdný.",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Aktualizujte seznam všech kapitol",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Aktualizace seznamu a stáhnout v následujících kapitolách",
a03e5f2c05b83301fa39dc34b1746453," ","Dejte nám pěti hvězdičkový domů",
8554827fedb4de78bf8468538d4a8ee3," ","Poslední čtení",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Z Internetu hledání románu",
65602d35795175e0705fc6741f913d8f," ","Probíhá import",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Informace o knize",
357cd9b4ae444db10f171a0a7b400422," ","Už to mám",
ce299a0f63bffd68519d8a19c20e8dcb," ","Další informace",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Pevné na úvodní obrazovku",
90b67b9235306593ddccbe9e7c6b217b," ","Přidat záložku",
83d79edb934c031d5e90545b8d4d51d8," ","Automatický posun",
a42be224ca6e69ada340d6dc5a300e46," ","Zastavit posun",
