Id,Notice,Value,
46b3931b9959c927df4fc65fdee94b07," ","Hakkında",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Profesyonel sürümü satın alınır",
7af2801e9e1449cf0453d00d34257c2d," ","Geri Bildirim",
e4bc22662e23d1a831c68aed5332c419," ","Benim Bookshelf",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Kitap tavsiyesi",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Alınan Kitaplar",
7426054dcc62deafc8aabac89d3ac9d9," ","Şimdi Yürütülüyor",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Çevrimiçi Kitaplar yenilemek için",
b7ab64a7ff684cfca5e0a3d80880f279," ","Ayarlar",
1f0e26f231153036a671ad2f933a27a5," ","Gözden geçirme düğmesini küme içinde gizli",
bde6c81a3b0a603a7b5e6076022bd309," ","Son okuma listesi boştur",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Tüm bölümleri listesini yenileyin",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Listeyi yenileyin ve aşağıdaki bölümleri indir",
a03e5f2c05b83301fa39dc34b1746453," ","Bize beş yıldızlı ev vermek",
8554827fedb4de78bf8468538d4a8ee3," ","Son okuma",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Internet arama romanından",
65602d35795175e0705fc6741f913d8f," ","Alma Devan Ediyor",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Kitap bilgi",
357cd9b4ae444db10f171a0a7b400422," ","Ben hallederim",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Gerektiði kadar sabit",
90b67b9235306593ddccbe9e7c6b217b," ","Yer İşareti Ekle",
83d79edb934c031d5e90545b8d4d51d8," ","Otomatik kaydırma",
a42be224ca6e69ada340d6dc5a300e46," ","Kaydırma durdurmak",
d09c379751c8ee1acf635d1b09652923," ","Arka plan okuma",
d800fe938c9dde01729fe00c51a107ed," ","Kategoriler",
00a6ae0599ff039144806cb3266a903b," ","boş olamaz",
14ede1b3aff131126cca56ec989ae922," ","Yüksek sesle okuma arka plan veya sıradan başlamak? Varsayılan seçenekleri ayarlamak için ses ayarları'na gidin",
af750e87dfda463f31b124cba06aec7a," ","İlk otomatik kaydırma açmak",
be93c95267d493e0ca36dd41e8aeb1db," ","Karşıdan yükleme tamamlandı!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Download durdu!",
