Id,Notice,Value,
46b3931b9959c927df4fc65fdee94b07," ","אודות",
a6d1acde6e20d49a9d81f90622732227," ","זבוב לקרוא",
5265418588dcc06751d8eaecec2c8e91," ","לקנות מהדורה מקצועית",
7af2801e9e1449cf0453d00d34257c2d," ","משוב",
e4bc22662e23d1a831c68aed5332c419," ","הספרים שלי",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","המלצה ספר",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","ספרים מיובאים",
7426054dcc62deafc8aabac89d3ac9d9," ","פועל כעת",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","כדי לרענן את הספרים באינטרנט",
b7ab64a7ff684cfca5e0a3d80880f279," ","הגדרות",
1f0e26f231153036a671ad2f933a27a5," ","ניתן להסתיר בלחצן סקירה בערכה",
bde6c81a3b0a603a7b5e6076022bd309," ","רשימת הקריאה האחרונה ריקה",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","לרענן את רשימת כל הפרקים",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","לרענן את הרשימה ולהוריד כל הפרקים הבאים",
a03e5f2c05b83301fa39dc34b1746453," ",". תן לנו הביתה חמישה כוכבים",
8554827fedb4de78bf8468538d4a8ee3," ","הקריאה האחרונה",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","מן הרומן חיפוש באינטרנט",
65602d35795175e0705fc6741f913d8f," ","‏‏הייבוא מתבצע",
dab7c7312c2b67e5fb662ee8b6cec88f," ","מידע הכלול בפנקס",
357cd9b4ae444db10f171a0a7b400422," ","יש לי את זה",
6b8cf70efcf4cb1e6a0b877285fc722a," ","קבוע למסך ההתחלה",
90b67b9235306593ddccbe9e7c6b217b," ","הו&סף סימניה",
83d79edb934c031d5e90545b8d4d51d8," ","גלילה אוטומטית",
a42be224ca6e69ada340d6dc5a300e46," ","לעצור את המגילה",
d09c379751c8ee1acf635d1b09652923," ","קריאת רקע",
d800fe938c9dde01729fe00c51a107ed," ","קטגוריות",
00a6ae0599ff039144806cb3266a903b," ","דחה ריק",
14ede1b3aff131126cca56ec989ae922," ","הפעל את הרקע הקריאה בקול או רגיל? אתה יכול ללכת הגדרות השמע כדי להגדיר אפשרויות ברירת המחדל",
af750e87dfda463f31b124cba06aec7a," ","לבטל תחילה את גלילה אוטומטית",
be93c95267d493e0ca36dd41e8aeb1db," ","ההורדה הושלמה!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","ההורדות עצרה!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","להוריד את הפרקים הבאים",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","הפרק {0} מורדת, סך של פרקים {1}, ואת הפרק {2} לא מתבצעת.",
1b60f059d3cd9ec288545faf95dc285b," ","הזן את שם הסימניה.",
cb5e100e5a9a3e7f6d1fd97512215282," ","שגיאה",
42010dfe34d331018d5eea58fa048f64," ","לא ניתן להיכנס למצב מסך מלא",
38b9440651a9409acc71403f02ddb7c8," ","הזן \ ליציאה ממצב מסך מלא",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","אתה לא צריך להתקין את החבילה קול סיני, נא עבור אל הגדרות (לא עבור הגדרת) הגדרות קול > >הגדרות מתקדמות, לבדוק אם הקול בשפה הסינית.",
a3e02fa1a6cdd74b97174003c1346827," ","הגיעו בעמוד הראשון",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","הקודם",
a498d3d7ee7d084c3c8252068f73abe4," ","עבור קדימה",
e33a1256b2d1414f61c0e753b0b12a63," ","הפרק הבא",
f3a072b2e7f2aab831d0908f294f135e," ","ממשק זה לא תפסיק את הורדת לעזוב.",
fc916ee83fad4c280a91aee8e5047efd," ","אינו מופיע להיות מחובר לאינטרנט!",
c3f07320c25b8a6686481dd26dad4da9," ","נא בחר",
ef7985af75743875a4e0c248574b3eec," ","קריאה כללי",
6edb279de6e7061ce548d309a94d1210," ","מצב לילה: חופש",
988df165cc538cd75492594fb43ecf00," ","מצב לילה:-",
f66be7a14a4547dc891689c33db53e59," ","קביעות הקריאה",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","להורדת הפרק",
2255891b91172c11604f09dd4f4203db," ","בפרק הקודם",
aa893ebdefd1af711a6c10c22165f334," ","המרת טקסט לדיבור",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","ההורדה הופסקה",
7faf231069c79a26652d68d676afb47a," ","לקפוץ התקדמות",
c7b8533ff7e66c21435b0672710b6827," ","נא הזן מספר תקף מ- 0 ~ 100",
0c37fcef3acf12e53e5d2db36ab8ead5," ","דיבור הופסק.",
b252282073cb5982f681f72fd96024f9," ","מצטער, אין אפשרות להפעיל את טקסט לדיבור!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","{0} נוספה לתור ההורדה.",
eaad7c2018aaef45a3af4a625890e3bc," ","לחזור הביתה",
