Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","О приложении",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Купить Pro-версию",
7af2801e9e1449cf0453d00d34257c2d," ","Отзывы и предложения",
e4bc22662e23d1a831c68aed5332c419," ","Моя книжная полка",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Книга Рекомендация",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Загрузить книги (TXT, EPUB, FB2 и YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","Проигрывается",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Чтобы обновить онлайн книги",
b7ab64a7ff684cfca5e0a3d80880f279," ","Параметры",
1f0e26f231153036a671ad2f933a27a5," ","Может быть скрыт в кнопку review в наборе",
bde6c81a3b0a603a7b5e6076022bd309," ","Ваш список чтения пуст",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Обновить список всех глав",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Обновите список и скачать все следующие главы",
a03e5f2c05b83301fa39dc34b1746453," ","Оцените нас на 5 звезд",
8554827fedb4de78bf8468538d4a8ee3," ","Недавние книги",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Из романа Интернет Поиск",
65602d35795175e0705fc6741f913d8f," ","Импорт",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Информация о книге",
357cd9b4ae444db10f171a0a7b400422," ","У меня есть",
ce299a0f63bffd68519d8a19c20e8dcb," ","Дополнительные сведения",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Закрепить на начальном экране",
90b67b9235306593ddccbe9e7c6b217b," ","Добавить закладку",
83d79edb934c031d5e90545b8d4d51d8," ","Автопрокрутка",
a42be224ca6e69ada340d6dc5a300e46," ","Остановить прокрутку",
d09c379751c8ee1acf635d1b09652923," ","Информационно-справочные материалы",
d800fe938c9dde01729fe00c51a107ed," ","Содержание",
00a6ae0599ff039144806cb3266a903b," ","Не может быть пустым",
14ede1b3aff131126cca56ec989ae922," ","Запустить чтение вслух, или обычное? Вы можете перейти к настройкам звука, чтобы задать параметры по умолчанию",
af750e87dfda463f31b124cba06aec7a," ","Сначала отключите авто-прокрутку",
be93c95267d493e0ca36dd41e8aeb1db," ","Загрузить полную версию!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Загрузка остановлена!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Загрузите следующие главы",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Загрузка {0}, {1}, {2} не был загружен. Количество загрузок:",
1b60f059d3cd9ec288545faf95dc285b," ","Введите имя закладки.",
cb5e100e5a9a3e7f6d1fd97512215282," ","Ошибка",
42010dfe34d331018d5eea58fa048f64," ","Не удалось войти в полноэкранный режим",
38b9440651a9409acc71403f02ddb7c8," ","Ввод или выход из полноэкранного режим",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Вы не должны установить пакет китайский голос, пожалуйста, перейдите в настройки (не для настройки) >настройки голоса >Дополнительные параметры, проверьте, ли голос язык китайский.",
a3e02fa1a6cdd74b97174003c1346827," ","Вы достигли первой страницы",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Назад",
a498d3d7ee7d084c3c8252068f73abe4," ","Вперед",
e33a1256b2d1414f61c0e753b0b12a63," ","Следующая глава",
f3a072b2e7f2aab831d0908f294f135e," ","Оставьте этот интерфейс не останавливает загрузку.",
fc916ee83fad4c280a91aee8e5047efd," ","Нет подключения к Интернету!",
c3f07320c25b8a6686481dd26dad4da9," ","Пожалуйста, выберите",
99b79007ca3cb8e86456776633bdd665,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Общие загрузки",
ef7985af75743875a4e0c248574b3eec," ","Общее чтение",
b309c671672ff440f6abc6e86704b6ae,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Общие загрузки (рекомендуется быстро скачать)",
6edb279de6e7061ce548d309a94d1210," ","Ночной режим: выкл.",
988df165cc538cd75492594fb43ecf00," ","Ночной режим: вкл.",
f66be7a14a4547dc891689c33db53e59," ","Параметры",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Скачать эту главу",
2255891b91172c11604f09dd4f4203db," ","Предыдущая глава",
aa893ebdefd1af711a6c10c22165f334," ","Преобразовать текст в речь",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Скачивание остановлено",
7faf231069c79a26652d68d676afb47a," ","Изменить прогресс прочитанного",
c7b8533ff7e66c21435b0672710b6827," ","Введите число от 0 до 100",
8de7fc44ad2f84fec1f59048652f6069,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Попробовать или купить быстро скачать",
6147ad1b487ea3175bf410f00e188ada,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Общие загрузки (реклама, купить профессиональную версию, чтобы удалить)",
0c37fcef3acf12e53e5d2db36ab8ead5," ","Воспроизведение было остановлено",
b252282073cb5982f681f72fd96024f9," ","К сожалению, не удалось начать воспроизведение!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","{0} был добавлен в очередь загрузки.",
eaad7c2018aaef45a3af4a625890e3bc," ","Отменить и вернуться домой",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Там были некоторые проблемы, пожалуйста, попробуйте еще раз! Если ошибка повторяется, попробуйте загрузить источник для главы, заменить или удалить книги скачать",
