Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","Info over",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Kopen van Professional Edition",
7af2801e9e1449cf0453d00d34257c2d," ","Feedback",
e4bc22662e23d1a831c68aed5332c419," ","Mijn boekenplank",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Boek aanbeveling",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Geïmporteerde boeken (TXT, en EPUB, FB2, YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","Nu afspelen",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Voor het vernieuwen van de on line boeken",
b7ab64a7ff684cfca5e0a3d80880f279," ","Instellingen",
1f0e26f231153036a671ad2f933a27a5," ","Kunnen worden verborgen in de review knop in de set",
bde6c81a3b0a603a7b5e6076022bd309," ","Recente lezing lijst is leeg",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Vernieuw de lijst met alle hoofdstukken",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Vernieuw de lijst en alle volgende hoofdstukken downloaden",
a03e5f2c05b83301fa39dc34b1746453," ","Ons huis van de vijf-sterren geven",
8554827fedb4de78bf8468538d4a8ee3," ","Recente lezing",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Op Internet Zoek roman",
65602d35795175e0705fc6741f913d8f," ","Importeren wordt uitgevoerd",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Informatie over het adresboek",
357cd9b4ae444db10f171a0a7b400422," ","Ik heb het",
ce299a0f63bffd68519d8a19c20e8dcb," ","Meer informatie",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Vaste naar het startscherm",
90b67b9235306593ddccbe9e7c6b217b," ","Bladwijzer toevoegen",
83d79edb934c031d5e90545b8d4d51d8," ","Auto scroll",
a42be224ca6e69ada340d6dc5a300e46," ","Stop scroll",
d09c379751c8ee1acf635d1b09652923," ","Achtergrond lezing",
d800fe938c9dde01729fe00c51a107ed," ","map",
00a6ae0599ff039144806cb3266a903b," ","Leeg niet toestaan",
14ede1b3aff131126cca56ec989ae922," ","Start achtergrond voorlezen of gewone? Kun je naar de audio-instellingen kunt u de standaardopties instellen",
af750e87dfda463f31b124cba06aec7a," ","Eerst uitschakelen auto scroll",
be93c95267d493e0ca36dd41e8aeb1db," ","Download volledige!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Download gestopt!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Downloaden van de volgende hoofdstukken",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Downloaden {0}, {1}, is {2} niet gedownload. Huidige downloads:",
1b60f059d3cd9ec288545faf95dc285b," ","Voer de naam van de bladwijzer.",
cb5e100e5a9a3e7f6d1fd97512215282," ","fout",
42010dfe34d331018d5eea58fa048f64," ","Is mislukt om de fullscreen modus",
38b9440651a9409acc71403f02ddb7c8," ","Voer \ modus volledig scherm afsluit",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","U hoeft niet te installeren van de Chinese stem-pakket, ga naar instellingen (niet voor het opzetten van) >-instellingen voor voicemail >Geavanceerde instellingen, Controleer of de gesproken taal Chinees is.",
a3e02fa1a6cdd74b97174003c1346827," ","De eerste pagina hebt bereikt",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Vorige",
a498d3d7ee7d084c3c8252068f73abe4," ","Vooruit",
e33a1256b2d1414f61c0e753b0b12a63," ","Volgend hoofdstuk",
f3a072b2e7f2aab831d0908f294f135e," ","Laat die deze interface stopt niet downloaden.",
fc916ee83fad4c280a91aee8e5047efd," ","Lijkt niet te worden aangesloten op het Internet!",
c3f07320c25b8a6686481dd26dad4da9," ","Gelieve te selecteren",
99b79007ca3cb8e86456776633bdd665,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Algemene downloads",
ef7985af75743875a4e0c248574b3eec," ","Algemene lezing",
b309c671672ff440f6abc6e86704b6ae,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Algemene downloads (aanbevolen snelle download)",
6edb279de6e7061ce548d309a94d1210," ","Laatavond mode: uit",
988df165cc538cd75492594fb43ecf00," ","Nachtmodus: op",
f66be7a14a4547dc891689c33db53e59," ","Lezing instellingen",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Download dit hoofdstuk",
2255891b91172c11604f09dd4f4203db," ","Hoofdstuk terug",
aa893ebdefd1af711a6c10c22165f334," ","Tekst naar spraak",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Downloaden gestopt",
7faf231069c79a26652d68d676afb47a," ","Springen van de vooruitgang",
c7b8533ff7e66c21435b0672710b6827," ","Voer een geldige waarde tussen 0 ~ 100",
8de7fc44ad2f84fec1f59048652f6069,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Probeer of koop snel downloaden",
6147ad1b487ea3175bf410f00e188ada,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Algemene downloads (reclame, koop de professional-versie om te verwijderen)",
0c37fcef3acf12e53e5d2db36ab8ead5," ","Spraak is gestopt.",
b252282073cb5982f681f72fd96024f9," ","Sorry, niet in staat om te beginnen de text-to-speech!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","Van de {0} is toegevoegd aan de download-wachtrij.",
eaad7c2018aaef45a3af4a625890e3bc," ","Annuleren en terugkeren",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Er zijn enkele problemen geweest, probeer het opnieuw! Als de fout zich blijft voordoen, kunt u downloaden van de bron voor een hoofdstuk, vervangen of verwijderen van een boek-download",
d91a4cba795fd26cb76a00d728ab2a63," ","Tijdelijk niet in staat om nieuwe inhoud verkrijgen, probeer het later opnieuw",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Sommige fouten zijn opgetreden wanneer download sectie",
a3cfe7cbbcf71e7be2e766de325eae2d," ","Negeren en doorgaan",
