Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","Πληροφορίες",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Αγοράσει την επαγγελματική έκδοση",
7af2801e9e1449cf0453d00d34257c2d," ","Σχόλια",
e4bc22662e23d1a831c68aed5332c419," ","Ράφι μου",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Βιβλίο σύσταση",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Εισαγόμενα βιβλία (TXT, και EPUB, ΦΒ2, YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","Αναπαραγωγή σε εκτέλεση",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Για να ανανεώσετε τα σε απευθείας σύνδεση βιβλία",
b7ab64a7ff684cfca5e0a3d80880f279," ","Ρυθμίσεις",
1f0e26f231153036a671ad2f933a27a5," ","Μπορεί να κρύβεται το κουμπί αναθεώρηση στο σύνολο",
bde6c81a3b0a603a7b5e6076022bd309," ","Πρόσφατη ανάγνωση λίστα είναι κενή",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Ανανεώσετε τη λίστα των όλα τα κεφάλαια",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Ανανεώσετε τη λίστα και να κατεβάσετε όλα τα παρακάτω κεφάλαια",
a03e5f2c05b83301fa39dc34b1746453," ","Να μας δώσει σπίτι πέντε αστέρων",
8554827fedb4de78bf8468538d4a8ee3," ","Πρόσφατη ανάγνωση",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Από το μυθιστόρημα αναζήτησης στο διαδίκτυο",
65602d35795175e0705fc6741f913d8f," ","Εισαγωγή σε εξέλιξη",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Πληροφορίες του βιβλίου",
357cd9b4ae444db10f171a0a7b400422," ","Έχω το πήρα",
ce299a0f63bffd68519d8a19c20e8dcb," ","Περισσότερες πληροφορίες",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Σταθερά στην οθόνη έναρξης",
90b67b9235306593ddccbe9e7c6b217b," ","Προσθήκη σελιδοδείκτη",
83d79edb934c031d5e90545b8d4d51d8," ","Αυτόματη κύλιση",
a42be224ca6e69ada340d6dc5a300e46," ","Σταματήστε την κύλιση",
d09c379751c8ee1acf635d1b09652923," ","Εισαγωγικά βιβλία",
d800fe938c9dde01729fe00c51a107ed," ","Κατηγορίες",
00a6ae0599ff039144806cb3266a903b," ","δεν μπορεί να είναι κενό",
14ede1b3aff131126cca56ec989ae922," ","Εικόνα φόντου οθόνης έναρξης ανάγνωση μεγαλοφώνως ή τακτική; Μπορείτε να μεταβείτε από τις ρυθμίσεις ήχου για να ρυθμίσετε τις προεπιλεγμένες επιλογές",
af750e87dfda463f31b124cba06aec7a," ","Πρώτα απενεργοποιήστε αυτόματη κύλιση",
be93c95267d493e0ca36dd41e8aeb1db," ","Κατεβάστε πλήρης!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Σταμάτησε το κατέβασμα!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Κατεβάστε τα ακόλουθα κεφάλαια",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Λήψη {0}, {1}, {2} δεν έχει γίνει λήψη. Τρέχουσες λήψεις:",
1b60f059d3cd9ec288545faf95dc285b," ","Πληκτρολογήστε το όνομα του σελιδοδείκτη.",
cb5e100e5a9a3e7f6d1fd97512215282," ","σφάλμα",
42010dfe34d331018d5eea58fa048f64," ","Απέτυχε να εισέλθουν στην κατάσταση λειτουργίας πλήρους οθόνης",
38b9440651a9409acc71403f02ddb7c8," ","Πληκτρολογήστε \ να τερματίσετε τη λειτουργία πλήρους οθόνης",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Δεν χρειάζεται να εγκαταστήσετε το πακέτο της κινεζικής φωνή, παρακαλώ πηγαίνετε στις ρυθμίσεις (όχι για ρύθμιση) ρυθμίσεις φωνής > >προηγμένες ρυθμίσεις, ελέγξτε αν η γλώσσα φωνής είναι κινέζικα.",
a3e02fa1a6cdd74b97174003c1346827," ","Έχουν φτάσει στην πρώτη σελίδα",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Προηγούμενο",
a498d3d7ee7d084c3c8252068f73abe4," ","Προώθηση",
e33a1256b2d1414f61c0e753b0b12a63," ","Το επόμενο κεφάλαιο",
f3a072b2e7f2aab831d0908f294f135e," ","Αφήστε αυτό το interface δεν σταματήσετε τη λήψη.",
fc916ee83fad4c280a91aee8e5047efd," ","Δεν εμφανίζονται να είναι συνδεδεμένη στο Internet!",
c3f07320c25b8a6686481dd26dad4da9," ","Παρακαλώ επιλέξτε",
99b79007ca3cb8e86456776633bdd665,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Γενικά στοιχεία λήψης",
ef7985af75743875a4e0c248574b3eec," ","Γενικά ανάγνωση",
b309c671672ff440f6abc6e86704b6ae,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Γενικά στοιχεία λήψης (συνιστάται download fast)",
6edb279de6e7061ce548d309a94d1210," ","Νυχτερινή λειτουργία: off",
988df165cc538cd75492594fb43ecf00," ","Νυχτερινή λειτουργία: στις",
f66be7a14a4547dc891689c33db53e59," ","Ανάγνωση των ρυθμίσεων",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Κατεβάστε αυτό το κεφάλαιο",
2255891b91172c11604f09dd4f4203db," ","Στο προηγούμενο κεφάλαιο",
aa893ebdefd1af711a6c10c22165f334," ","Μετατροπή κειμένου σε ομιλία",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Διακοπή λήψης",
7faf231069c79a26652d68d676afb47a," ","Άλμα προόδου",
c7b8533ff7e66c21435b0672710b6827," ","Παρακαλώ εισάγετε έναν έγκυρο αριθμό από 0 ~ 100",
8de7fc44ad2f84fec1f59048652f6069,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Δοκιμάστε ή αγοράσετε γρήγορη λήψη",
6147ad1b487ea3175bf410f00e188ada,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Γενικά στοιχεία λήψης (διαφήμιση, αγοράσει την επαγγελματική έκδοση να αφαιρέσει)",
0c37fcef3acf12e53e5d2db36ab8ead5," ","Ομιλία έχει διακοπεί.",
b252282073cb5982f681f72fd96024f9," ","Λυπούμαστε, δεν μπορείτε να ξεκινήσετε τη μετατροπή κειμένου σε ομιλία!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","Το {0} έχει προστεθεί στην ουρά λήψης.",
eaad7c2018aaef45a3af4a625890e3bc," ","Ακύρωση και επιστροφή στο σπίτι",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Υπήρξαν κάποια προβλήματα, παρακαλώ προσπαθήστε ξανά! Εάν το σφάλμα επιμείνει, δοκιμάστε να κατεβάσετε το αρχείο προέλευσης για ένα κεφάλαιο, αντικαταστήσει ή να διαγράψετε ένα βιβλίο download",
d91a4cba795fd26cb76a00d728ab2a63," ","Προσωρινά σε θέση να αποκτήσουν μυθιστόρημα περιεχόμενο, παρακαλώ προσπαθήστε ξανά αργότερα",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Παρουσιάστηκαν μερικά σφάλματα όταν κατεβάσετε ενότητα",
a3cfe7cbbcf71e7be2e766de325eae2d," ","Παράβλεψη και Συνέχεια",
b2627e81115955337af3e69b65692a28,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Το {0} έχει προστεθεί στην ουρά λήψης.",
36711434d88f4d2fdb28b81ffb7ef6a5,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Τρέχουσα λήψη βρίσκεται σε εξέλιξη, παρακαλώ σταματήστε ή περιμένοντας Μεταφορτώστε για να τελειώσει, και στη συνέχεια να κατεβάσετε το νέο ΚΕΦΑΛΑΙΟ",
0c6e5d82a03b167eaa58c09a2aa5b815," ","Όλοι έχουμε κακές ημέρες",
5bddbcd4449b7bbfe3ed21c6c834ec44,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Αφήστε αυτό το interface θα προκαλέσει η λήψη να σταματήσει.",
67447f7e5d140719d13625e577004700," ","Επεξεργασία, παρακαλώ περιμένετε",
a14fa2166ed698f3d04061f57e5ab9b9," ","Φόρτωση",
34bd73951b4fd3f310948d5ff0ab3441," ","Για να επιλέξετε περισσότερες από μία",
a33ddd3b6531c3bd5d006e6fd65f1229," ","Για να επιλέξετε περισσότερες από μία",
61242e9f754401607d81f5d2095cee3a," ","Ράφι αναζήτησης",
b9a403d9d7a86e2b033b852aff690ac4," ","Φόρτωση...",
77401ea47594854b5c20f083047c33f5," ","Διαγράψτε μόνο το αρχείο φωνής",
495c3889dfa3d011d7295d6976591dc6," ","Εξαγωγής για την κάλυψη",
f6e3abb8b9e7dd47e99f02e405709439," ","έκδοση {0} {1}",
7adb6458badf30672fd61b6ed9b9e3b5," ","Τμήματα αυτού του λογισμικού μπορεί να είναι από το δίκτυο, αν σας παραβιάζετε τα δικαιώματά σας, παρακαλούμε να στείλετε ένα μήνυμα να yfreader@yinyue200.com <br/> <br/>ή ονόματα προϊόντων τρίτων μπορεί να είναι εμπορικά σήματα των αντίστοιχων ιδιοκτητών τους",
d6c5c00bec1027a39b4b3919ba68da37," ","Άδεια Χρήσης",
306a62944b3a5dabaf7035ce45b47267," ","δήλωση προστασίας προσωπικών δεδομένων",
78e2b99ca31ea4fcce81fb53de82e6c3," ","Βιβλίο δεν υπάρχει ή έχει καταργηθεί",
01927eac784debb204dea4d21d1b8cd8," ","πληροφορία",
a4db069238d8d89f372b686769c2a604," ","Κατηγορίες",
ed091b47af84c07cfe969247e61a1f15,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Εναλλαγή της πηγής",
987bdc9d763d9656ded5e0253d28f770,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Θα πρέπει να κάνετε κλικ σε σελίδα καταλόγου του «μετάβαση σε αυτήν την πηγή» να τεθούν σε ισχύ",
06077a433c30fb3b8dce7ae5996f619a," ","Επιλέξτε μια τοποθεσία",
74a7475cad9677ba41b4ccbc6a222d8f,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Λήψη όλων",
b8134f85a74b3920ff131c916dbf071d,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Εισαγωγή στην φόρτου δικτύου",
2f4b2e23ac9742c76ce4cf15dd66433f,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Κατεβάστε την πηγή: {0}",
80a0d7c704dd277483df1b4f8eb961d9," ","Ανανεώσετε την ενότητα",
5ab8a6b8508a710d02102eec7184a452," ","Απέτυχε!",
ca427b3f4b5b4e4018787e96a7920573,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Αλλαγή προέλευσης να κατεβάσετε μυθιστορήματα",
c98a3f50a5d9959de819145f22202016," ","Αυτό είναι ένα τοπικό εισαγωγής βιβλία",
3102be5b9306de12b8bd645c06fa585e,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Λυπάμαι, αλλά ένα κεφάλαιο λίστα δεδομένων δεν είναι έγκυρη.",
5a65aee8789bf00cc8241a2f6bfb544d,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Λυπάμαι, σφάλμα κατά την ανάλυση ενότητες παραθέτουν στοιχεία.",
72e4c614a827ae7172b0f2db5e945869," ","σελιδοδείκτης",
8c10fdaffa1194375415263aec016f6c," ","Τμήματα κινούνται προς τα κάτω της λίστας",
adc5a4368fa48441d2fc6eeea059e1f4," ","Κεφάλαιο λίστα σελιδοδεικτών",
53b347b7048f7abf4c9f35552ac5c298," ","Κορυφή λίστα κεφάλαιο",
