Id,Notice,Value,
46b3931b9959c927df4fc65fdee94b07," ","정보",
a6d1acde6e20d49a9d81f90622732227," ","플라이 ",
5265418588dcc06751d8eaecec2c8e91," ","프로페셔널 에디션 구매",
7af2801e9e1449cf0453d00d34257c2d," ","피드백",
e4bc22662e23d1a831c68aed5332c419," ","내 책장",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","도서 추천",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","책 가져오기",
7426054dcc62deafc8aabac89d3ac9d9," ","지금 재생 중",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","온라인 도서를 새로 고침",
b7ab64a7ff684cfca5e0a3d80880f279," ","설정",
1f0e26f231153036a671ad2f933a27a5," ","등급 버튼은 설정에서 숨길 수 있습니다.",
bde6c81a3b0a603a7b5e6076022bd309," ","최근 읽기 목록이 비어 있습니다.",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","모든 책의 목록 새로 고침",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","목록 새로 고침 및 모든 다음 챕터를 다운로드",
a03e5f2c05b83301fa39dc34b1746453," ","우리에게 별점 5개를 주세요",
8554827fedb4de78bf8468538d4a8ee3," ","최근 읽기",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","인터넷 소설 검색",
65602d35795175e0705fc6741f913d8f," ","가져오",
dab7c7312c2b67e5fb662ee8b6cec88f," ","도서 정보",
357cd9b4ae444db10f171a0a7b400422," ","나는 그것을 가지고 있다",
6b8cf70efcf4cb1e6a0b877285fc722a," ","시작 화면에 고정",
90b67b9235306593ddccbe9e7c6b217b," ","책갈피 추가",
83d79edb934c031d5e90545b8d4d51d8," ","자동 스크롤",
a42be224ca6e69ada340d6dc5a300e46," ","스크롤 중지",
d09c379751c8ee1acf635d1b09652923," ","백그라운드 리",
d800fe938c9dde01729fe00c51a107ed," ","디렉터리",
00a6ae0599ff039144806cb3266a903b," ","- 비워 둘 수 없습니다.",
14ede1b3aff131126cca56ec989ae922," ","백그라운드 TTS 또는 기본 옵션을 시작합니까? 오디오 설정으로 이동하여 기본 옵션을 설정할 수 있습니다.",
af750e87dfda463f31b124cba06aec7a," ","먼저 자동 스크롤을 끄세요",
be93c95267d493e0ca36dd41e8aeb1db," ","다운로드 완료",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","다운로드 중지",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","다음 챕터를 다운로드",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","{0} 장이 다운로드 되고, 총 {1} 장 그리고 {2} 장이 다운로드 되지 않습니다.",
1b60f059d3cd9ec288545faf95dc285b," ","책갈피 이름을 입력 합니다.",
cb5e100e5a9a3e7f6d1fd97512215282," ","오류",
42010dfe34d331018d5eea58fa048f64," ","전체 화면 모드로 전환 하지 못했습니다.",
38b9440651a9409acc71403f02ddb7c8," ","전체 화면 모드 시작 또는 종료",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","음성 패키지를 설치해야합니다, 메인 페이지 > 설정 > 음성 설정 > 고급 설정으로 이동하여 음성 언어를 확인하십시오.",
a3e02fa1a6cdd74b97174003c1346827," ","첫 페이지에 도달 했습니다.",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","이전 페이지",
a498d3d7ee7d084c3c8252068f73abe4," ","다음 페이지",
e33a1256b2d1414f61c0e753b0b12a63," ","다음 챕터",
f3a072b2e7f2aab831d0908f294f135e," ","이 페이지를 나가도 다운로드가 중지되지 않습니다.",
fc916ee83fad4c280a91aee8e5047efd," ","인터넷에 연결되지 않은 것 같습니다.",
c3f07320c25b8a6686481dd26dad4da9," ","선택 하십시오",
ef7985af75743875a4e0c248574b3eec," ","일반 읽기",
6edb279de6e7061ce548d309a94d1210," ","야간 모드: 꺼짐",
988df165cc538cd75492594fb43ecf00," ","야간 모드: 켜짐",
f66be7a14a4547dc891689c33db53e59," ","읽기 설정",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","이 장 다운로드",
2255891b91172c11604f09dd4f4203db," ","이전 챕터",
aa893ebdefd1af711a6c10c22165f334," ","텍스트 음성 변환",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","다운로드 중지",
7faf231069c79a26652d68d676afb47a," ","점프 이동",
c7b8533ff7e66c21435b0672710b6827," ","0~100 사이 유효한 숫자를 입력 하십시오",
0c37fcef3acf12e53e5d2db36ab8ead5," ","음성 중지 되었습니다.",
b252282073cb5982f681f72fd96024f9," ","죄송 합니다, 텍스트 음성 변환을 시작 할 수 없습니다!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","{0}의 다운로드 대기열에 추가 되었습니다.",
eaad7c2018aaef45a3af4a625890e3bc," ","취소 하고 돌아가기",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","몇 가지 문제가 되었습니다, 다시 시도 하십시오! 오류가 계속 되면 챕터에 대한 소스를 대체 또는 삭제에서 다운로드",
d91a4cba795fd26cb76a00d728ab2a63," ","일시적으로 새로운 콘텐츠를 얻을 수 없습니다. 나중에 다시 시도하세요.",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","섹션을 다운로드 할 때 일부 오류가 발생했습니다.",
a3cfe7cbbcf71e7be2e766de325eae2d," ","무시하고 계속하기",
b2627e81115955337af3e69b65692a28,"You needn't translate the text. Unless you turn on the online book function for Chinese users","{0}의 다운로드 대기열에 추가 되었습니다.",
36711434d88f4d2fdb28b81ffb7ef6a5,"You needn't translate the text. Unless you turn on the online book function for Chinese users","현재 다운로드가 진행 중입니다. 중지하거나 다운로드가 완료될 때까지 기다린 다음 새 장을 다운로드하십시오.",
0c6e5d82a03b167eaa58c09a2aa5b815," ","우리 모두는 나쁜 날을 보낸다.",
5bddbcd4449b7bbfe3ed21c6c834ec44,"You needn't translate the text. Unless you turn on the online book function for Chinese users","이 인터페이스를 그대로 두면 다운로드가 중지됩니다.",
67447f7e5d140719d13625e577004700," ","처리 중, 잠시 기다려 주십시오",
a14fa2166ed698f3d04061f57e5ab9b9," ","로드",
34bd73951b4fd3f310948d5ff0ab3441," ","둘 이상을 선택하려면",
a33ddd3b6531c3bd5d006e6fd65f1229," ","둘 이상을 선택하려면",
61242e9f754401607d81f5d2095cee3a," ","책장 검색",
b9a403d9d7a86e2b033b852aff690ac4," ","로드하는 중...",
77401ea47594854b5c20f083047c33f5," ","음성 파일 삭제",
495c3889dfa3d011d7295d6976591dc6," ","커버로 내보내기",
f6e3abb8b9e7dd47e99f02e405709439," ","{0} {1} 버전",
7adb6458badf30672fd61b6ed9b9e3b5," ","소프트웨어의 일부는 네트워크에서 가져온 것일 수 있습니다. 네트워크에서 만약 귀하의 권리를 침해하는 경우 yfreader@yinyue200.com <br/> <br/>으로 메시지를 보내주십시오. 타사 제품 또는 이름은 해당 소유자의 상표일 수 있습니다.",
d6c5c00bec1027a39b4b3919ba68da37," ","사용권 계약",
306a62944b3a5dabaf7035ce45b47267," ","개인정보취급방침",
78e2b99ca31ea4fcce81fb53de82e6c3," ","책이 존재하지 않거나 제거되었습니다.",
01927eac784debb204dea4d21d1b8cd8," ","정보",
a4db069238d8d89f372b686769c2a604," ","디렉토리",
ed091b47af84c07cfe969247e61a1f15,"You needn't translate the text. Unless you turn on the online book function for Chinese users","소스 전환",
987bdc9d763d9656ded5e0253d28f770,"You needn't translate the text. Unless you turn on the online book function for Chinese users","적용하려면 "이 소스로 전환"의 디렉토리 페이지를 클릭해야합니다.",
06077a433c30fb3b8dce7ae5996f619a," ","위치 선택",
74a7475cad9677ba41b4ccbc6a222d8f,"You needn't translate the text. Unless you turn on the online book function for Chinese users","모두 다운로드",
b8134f85a74b3920ff131c916dbf071d,"You needn't translate the text. Unless you turn on the online book function for Chinese users","로드 인트로",
2f4b2e23ac9742c76ce4cf15dd66433f,"You needn't translate the text. Unless you turn on the online book function for Chinese users","소스 다운로드: {0}",
80a0d7c704dd277483df1b4f8eb961d9," ","목차 새로 고침",
5ab8a6b8508a710d02102eec7184a452," ","실패!",
ca427b3f4b5b4e4018787e96a7920573,"You needn't translate the text. Unless you turn on the online book function for Chinese users","소설을 다운로드하도록 소스 변경",
c98a3f50a5d9959de819145f22202016," ","이것은 로컬 수입 책입니다.",
3102be5b9306de12b8bd645c06fa585e,"You needn't translate the text. Unless you turn on the online book function for Chinese users","죄송합니다, 장 목록 데이터가 유효하지 않습니다.",
5a65aee8789bf00cc8241a2f6bfb544d,"You needn't translate the text. Unless you turn on the online book function for Chinese users","죄송합니다, 장 목록 데이터를 구문 분석하는 동안 오류가 발생했습니다.",
72e4c614a827ae7172b0f2db5e945869," ","책갈피",
8c10fdaffa1194375415263aec016f6c," ","목록 맨 아래로 이동",
adc5a4368fa48441d2fc6eeea059e1f4," ","목록의 책갈피 위치로 이동",
53b347b7048f7abf4c9f35552ac5c298," ","목록 맨 위로 이동",
beb3c7b9b84b19abbea4a52b9a0a1cee,"You needn't translate the text. Unless you turn on the online book function for Chinese users","새로 고침이 완료되었습니다! 확인을 클릭하여 선반으로 돌아갑니다!",
364b3c4617ce8abd033a23ca16710e1f," ","오류 발생",
8981f0b224cd1fbf94ed9f0811732b32," ","챕터 오류를 새로 고칩니다.",
f3cd462c40a8f408171cede0fa6ddf94," ","공유",
2659c9139ee8bdd4d0504795c8db8b9a," ","공유?",
74004a25e517903140e99be92654a041," ","미안하지만 공유 실패 ... ... 오류 코드: {0}",
2ea379700b3589b6ac480ea8e5ebc512," ","다른 공유",
610fac2c6e60970a6ba71927f0c1ae3d," ","여기 좋은 책이 있습니다 {0}",
d50e625497218b93d1249e5dae53f8cc," ","위챗에 공유",
8f8c669401044b0bd458648c02320926," ","정규 표현식을 사용하여 섹션을 찾습니다. 자세한 내용을 보려면 여기를 클릭하십시오.",
f677171484f7456d13f2bd9ccc4bc94b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","프로필이 로드 된 후 디렉토리를 다운로드하십시오.",
6906830459d60629dc34a5f31d5e1641,"You needn't translate the text. Unless you turn on the online book function for Chinese users","프로필 로드가 완료된 후 책을 다시 다운로드하십시오.",
2eed1a744433034f759eb020269222cb,"You needn't translate the text. Unless you turn on the online book function for Chinese users","기다리세요. "{0}"가 새로 고쳐지고 있습니다. 총 {2} 권의 책 중 {1} 권이 새로 고쳐졌습니다.",
7c716ca43d80e5226e97df40901afd81,"You needn't translate the text. Unless you turn on the online book function for Chinese users","디렉토리 페이지에서 다운로드 디렉토리를 클릭하면 책이 선반에 추가됩니다.",
809c638fc3928737294187ac1d4865e0," ","책 이름이 올바르지 않습니다. 책을 바꾼 후 다시 시도하십시오!",
2a3858cf6d51e263be55e9be819aff41," ","일시적으로 이 소설을 얻을 수 없습니다. 나중에 다시 시도하십시오. 오류 코드: {0}",
7e9cd7ac8d16f182c2c0fcd734d550e9," ","이것은 로컬에서 가져 오 책이며 공유 기능을 사용할 수 없습니다. 내 책장의 홈 >로 이동하여 >길게 누르거나 마우스 오른쪽 버튼을 클릭하여 책을 공유>공유할 책을 내보낼 수 있습니다.",
0cc1bb2ad253c9e53b37998e7ec92c24," ","책 표지 교체",
bd430bffe7bc2eb54c274eec3ada6b1e,"You needn't translate the text. Unless you turn on the online book function for Chinese users","다운로드 디렉터리",
816879e7d23367479d3520fb710b0970," ","로드 된 {0}",
7d1dadf8c47a38178c0f610d73d40f82," ","새 챕터가 {0}에 로드됩니다.",
32653d660d6f84aaae6b8c9f541a9d7c," ","로드하는 중...",
9888b83e95fdb55ce3d92862892b5980," ","프로필 없음",
28a1d088d9b44407d4815a14a556bbd3,"You needn't translate the text. Unless you turn on the online book function for Chinese users","소설의 웹사이트를 지원 하지 않습니다.",
6f3d60f8f8cdacf828037b3103239f6a," ","새로 고침",
719d22977ebea23a69694415ea704a73," ","로드 중, 새로 고칠 수 없음",
5b20ad083b3495ee81a7e444e513bc8b," ","표지를 작성 하는 중 오류가 발생 했습니다! 자동으로 무시 됩니다.",
a5eb26b7a73a9be7a9fe1e0b11218c0f,"You needn't translate the text. Unless you turn on the online book function for Chinese users","이 기능은 소설 목록이있는 웹 페이지 주소를 구문 분석하여, 좋아하는 소설의 오프라인 캐싱 (컴퓨터 버전 디렉토리 만 확인하고 사이트 검색 설정 만 표시)",
65ca0782e3b0ff1e2c90b17edb7164ef," ","타임 오프 기능은 한 번만 적용되며 즉시 적용됩니다. 소프트웨어 종료",
dc615c71c75159f1241295a68532e9e6," ","또는",
82bf182b5496a2f6669035c611a8ba2a," ","읽기에 도달하면 중지",
6d8cdb3f42da88bfa057fe2be72b75a8," ","Cortana 기능에 대한 추가 정보",
bb2e4ef58f4725e462109041842b04a1," ","사용자 지정 Cortana를 소프트웨어 이름으로 변경(다시 시작한 후 적용)",
146c96e98e7cbd15bb3f50ae3e73859f," ","기본 읽기",
d56f41bdddf75bae61ed4767d8f299d1," ","읽기 자료",
