Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","informacje",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Kup wersję Professional",
7af2801e9e1449cf0453d00d34257c2d," ","Opinia",
e4bc22662e23d1a831c68aed5332c419," ","Moja półka",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Rekomendacja książki",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Importowanie książek (TXT i EPUB, FB2, YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","Odtwarzanie",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Aby odświeżyć książki online",
b7ab64a7ff684cfca5e0a3d80880f279," ","Ustawienia",
1f0e26f231153036a671ad2f933a27a5," ","Może być ukryte w przycisk przegląd w zestawie",
bde6c81a3b0a603a7b5e6076022bd309," ","Ostatnie listy lektur jest pusty",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Odśwież listę wszystkich rozdziałów",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Odśwież listę i pobrać wszystkie kolejne rozdziały",
a03e5f2c05b83301fa39dc34b1746453," ","Oceń nas (gwiazdki)",
8554827fedb4de78bf8468538d4a8ee3," ","Ostatnie czytanie",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Z powieści Szukaj Internet",
65602d35795175e0705fc6741f913d8f," ","Importowanie w toku",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Informacje z książki",
357cd9b4ae444db10f171a0a7b400422," ","Mam go",
ce299a0f63bffd68519d8a19c20e8dcb," ","Więcej informacji",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Do ekranu startowego",
90b67b9235306593ddccbe9e7c6b217b," ","Dodaj zakładkę",
83d79edb934c031d5e90545b8d4d51d8," ","Autoprzewijanie",
a42be224ca6e69ada340d6dc5a300e46," ","Zatrzymanie przewijania",
d09c379751c8ee1acf635d1b09652923," ","Lektura",
d800fe938c9dde01729fe00c51a107ed," ","Kategorie",
00a6ae0599ff039144806cb3266a903b," ","nie może być pusty",
14ede1b3aff131126cca56ec989ae922," ","Tło ekranu startowego, czytanie na głos lub zwykłych? Możesz przejść do ustawienia audio, aby ustawić domyślne opcje",
af750e87dfda463f31b124cba06aec7a," ","Najpierw wyłącz Autoprzewijanie",
be93c95267d493e0ca36dd41e8aeb1db," ","Pobierz kompletny!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Pobieranie zatrzymane!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Pobierz następujących rozdziałów",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Pobieranie {0}, {1}, {2} nie został pobrany. Aktualne pliki do pobrania:",
1b60f059d3cd9ec288545faf95dc285b," ","Wprowadź nazwę zakładki.",
cb5e100e5a9a3e7f6d1fd97512215282," ","błąd",
42010dfe34d331018d5eea58fa048f64," ","Nie udało się wejść w tryb pełnoekranowy",
38b9440651a9409acc71403f02ddb7c8," ","Wpisz \ Aby wyjść z trybu pełnoekranowego",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Nie trzeba zainstalować pakiet chiński głos, proszę przejść do ustawienia (nie dla konfigurowania) ustawienia głosu > >Zaawansowane ustawienia, sprawdź, czy język chiński.",
a3e02fa1a6cdd74b97174003c1346827," ","Osiągnęły pierwszej strony",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Poprzednia",
a498d3d7ee7d084c3c8252068f73abe4," ","Przejdź dalej",
e33a1256b2d1414f61c0e753b0b12a63," ","Następny rozdział",
