Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","เกี่ยวกับ",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","ซื้อรุ่น Professional",
7af2801e9e1449cf0453d00d34257c2d," ","คำติชม",
e4bc22662e23d1a831c68aed5332c419," ","ชั้นวางหนังสือของฉัน",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","แนะนำหนังสือ",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","หนังสือนำ (TXT และ EPUB, FB2, YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","กำลังเล่นอยู่",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","การฟื้นฟูหนังสือออนไลน์",
b7ab64a7ff684cfca5e0a3d80880f279," ","การตั้งค่า",
1f0e26f231153036a671ad2f933a27a5," ","สามารถซ่อนปุ่มรีวิวในชุด",
bde6c81a3b0a603a7b5e6076022bd309," ","ล่าสุดอ่านรายการว่างเปล่า",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","ฟื้นฟูรายการของทุกบท",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","ฟื้นฟูรายการ และดาวน์โหลดทุกบทต่อไปนี้",
a03e5f2c05b83301fa39dc34b1746453," ","ให้ห้าดาวบ้านเรา",
8554827fedb4de78bf8468538d4a8ee3," ","อ่านล่าสุด",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","จากนวนิยายอินเทอร์เน็ตค้นหา",
65602d35795175e0705fc6741f913d8f," ","กำลังนำเข้า ",
dab7c7312c2b67e5fb662ee8b6cec88f," ","ข้อมูลสมุดรายชื่อ",
357cd9b4ae444db10f171a0a7b400422," ","ฉันได้รับมัน",
ce299a0f63bffd68519d8a19c20e8dcb," ","ข้อมูลเพิ่มเติม",
6b8cf70efcf4cb1e6a0b877285fc722a," ","แก้ไขที่หน้าจอเริ่ม",
90b67b9235306593ddccbe9e7c6b217b," ","เพิ่ม&บุ๊กมาร์ก",
83d79edb934c031d5e90545b8d4d51d8," ","เลื่อนอัตโนมัติ",
a42be224ca6e69ada340d6dc5a300e46," ","หยุดเลื่อน",
d09c379751c8ee1acf635d1b09652923," ","อ่านเบื้องหลัง",
d800fe938c9dde01729fe00c51a107ed," ","ประเภท",
00a6ae0599ff039144806cb3266a903b," ","ปฏิเสธมิติที่ว่างเปล่า",
14ede1b3aff131126cca56ec989ae922," ","เริ่มอ่านออกเสียงพื้นหลังหรือธรรมดา คุณสามารถไปที่การตั้งค่าเสียงการตั้งค่าตัวเลือกเริ่มต้น",
af750e87dfda463f31b124cba06aec7a," ","ปิดเลื่อนอัตโนมัติ",
be93c95267d493e0ca36dd41e8aeb1db," ","ดาวน์โหลดเสร็จสมบูรณ์",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","ดาวน์โหลดหยุด",
