Id,Notice,Value,
0ceafe2002fc773612423715cbcf23a9," ","Info",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Professional Edition kaufen",
7af2801e9e1449cf0453d00d34257c2d," ","Rückmeldung",
e4bc22662e23d1a831c68aed5332c419," ","Mein Bücherregal",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Buchempfehlung",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Importierte Bücher (TXT, und EPUB, FB2, YFB)",
7426054dcc62deafc8aabac89d3ac9d9," ","Aktuelle Wiedergabe",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Die Online-Bücher zu aktualisieren",
b7ab64a7ff684cfca5e0a3d80880f279," ","Einstellungen",
1f0e26f231153036a671ad2f933a27a5," ","Können in den Button ""Bearbeiten"" in der Menge versteckt werden",
bde6c81a3b0a603a7b5e6076022bd309," ","Den letzten Leseliste ist leer",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Die Liste der alle Kapitel aktualisieren",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Aktualisieren Sie die Liste zu und laden Sie die folgenden Kapitel",
a03e5f2c05b83301fa39dc34b1746453," ","Geben Sie uns 5-Sterne-Haus",
8554827fedb4de78bf8468538d4a8ee3," ","Den letzten Lesung",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Internet Suche Roman",
65602d35795175e0705fc6741f913d8f," ","Importieren",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Buchinformationen",
357cd9b4ae444db10f171a0a7b400422," ","Ich habe es",
ce299a0f63bffd68519d8a19c20e8dcb," ","Weitere Infos",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Zum Start-Bildschirm behoben",
90b67b9235306593ddccbe9e7c6b217b," ","Hinzufügen eines Lesezeichens",
83d79edb934c031d5e90545b8d4d51d8," ","Auto scroll",
a42be224ca6e69ada340d6dc5a300e46," ","Blättern Sie zu stoppen",
d09c379751c8ee1acf635d1b09652923," ","Hintergrund-Lesung",
d800fe938c9dde01729fe00c51a107ed," ","Verzeichnis",
00a6ae0599ff039144806cb3266a903b," ","darf nicht leer sein",
14ede1b3aff131126cca56ec989ae922," ","Start-Hintergrund vorlesen oder gewöhnliche? Sie können die Audioeinstellungen festlegen die Standardoptionen gehen",
af750e87dfda463f31b124cba06aec7a," ","Zuerst schalten Sie Auto-scroll",
be93c95267d493e0ca36dd41e8aeb1db," ","Download abgeschlossen!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Download gestoppt!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Die folgenden Kapitel herunterladen",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Herunterladen von {0}, {1}, hat {2} nicht heruntergeladen wurden. Aktuelle Downloads:",
1b60f059d3cd9ec288545faf95dc285b," ","Geben Sie den Namen des Lesezeichens.",
cb5e100e5a9a3e7f6d1fd97512215282," ","Fehler",
42010dfe34d331018d5eea58fa048f64," ","Fehler beim Vollbild-Modus eingeben",
38b9440651a9409acc71403f02ddb7c8," ","Geben Sie \ zum Verlassen des Vollbild-Modus",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Du musst nicht das chinesische Stimme-Paket zu installieren, gehen Sie zu Einstellungen (nicht für die Einrichtung) >Stimme Einstellungen >Erweiterte Einstellungen, überprüfen Sie, ob die gesprochene Sprache Chinesisch ist.",
a3e02fa1a6cdd74b97174003c1346827," ","Die erste Seite erreicht haben",
e878ba8c0d3fa1c3773c7f8cf78fdbcf," ","Vorherige Seite",
a498d3d7ee7d084c3c8252068f73abe4," ","Nächste Seite",
e33a1256b2d1414f61c0e753b0b12a63," ","Nächstes Kapitel",
f3a072b2e7f2aab831d0908f294f135e," ","Lassen Sie diese Schnittstelle nicht Halt macht herunterladen.",
fc916ee83fad4c280a91aee8e5047efd," ","Scheint nicht mit dem Internet verbunden sein!",
c3f07320c25b8a6686481dd26dad4da9," ","Bitte wählen Sie",
99b79007ca3cb8e86456776633bdd665,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Allgemeine downloads",
ef7985af75743875a4e0c248574b3eec," ","Allgemeine Lesung",
b309c671672ff440f6abc6e86704b6ae,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Allgemeine Downloads (empfohlener schnelle Download)",
6edb279de6e7061ce548d309a94d1210," ","Nacht-Modus: aus",
988df165cc538cd75492594fb43ecf00," ","Nacht-Modus: auf",
f66be7a14a4547dc891689c33db53e59," ","Leseeinstellungen",
4d07494e6b31bba3b45d1eb5a9bcb9c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Dieses Kapitel herunterladen",
2255891b91172c11604f09dd4f4203db," ","Kapitel zurück",
aa893ebdefd1af711a6c10c22165f334," ","Text to Speech",
62d70c3ab435d452cf910f530e29a619,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Download ist beendet",
7faf231069c79a26652d68d676afb47a," ","Fortschritt zu springen",
c7b8533ff7e66c21435b0672710b6827," ","Bitte geben Sie eine gültige Nummer von 0 ~ 100",
8de7fc44ad2f84fec1f59048652f6069,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Testen Sie oder kaufen Sie schnellen download",
6147ad1b487ea3175bf410f00e188ada,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Allgemeine Downloads (Werbung, Kauf die professional-Version zu entfernen)",
0c37fcef3acf12e53e5d2db36ab8ead5," ","Rede wurde beendet.",
b252282073cb5982f681f72fd96024f9," ","Sorry, nicht in der Lage, die Sprachausgabe zu starten!",
b5a8ec8c6eef48914ee5fe73f70ec2e3," ","Von {0} wurde zur Download-Warteschlange hinzugefügt.",
eaad7c2018aaef45a3af4a625890e3bc," ","Abbrechen und nach Hause zurückkehren",
ba7550704393de68568874db04b92702,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Gab es Probleme, bitte versuchen Sie es erneut! Wenn der Fehler weiterhin auftritt, versuchen Sie, die Quelle für ein Kapitel, ersetzen oder Löschen eines Buch-Downloads",
d91a4cba795fd26cb76a00d728ab2a63," ","Vorübergehend nicht in der Lage, neue Inhalte zu erhalten, bitte versuchen Sie es später noch einmal",
193ebd374e4de76e0c211747f189028c,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Einige Fehler beim download-Bereich",
a3cfe7cbbcf71e7be2e766de325eae2d," ","Ignorieren und fortfahren",
