Id,Notice,Value,
46b3931b9959c927df4fc65fdee94b07," ","Giới thiệu",
a6d1acde6e20d49a9d81f90622732227," ","Fly Reader",
5265418588dcc06751d8eaecec2c8e91," ","Mua phiên bản chuyên nghiệp",
7af2801e9e1449cf0453d00d34257c2d," ","Phản hồi",
e4bc22662e23d1a831c68aed5332c419," ","Kệ sách của tôi",
d6311507af3a86f3174346816549d8f9,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Cuốn sách giới thiệu",
7e9d7adc0bc8da3f3cb72c2757821ab6," ","NAT",
df007455f507ccf34d95e6fe7dd56796," ","Nhập khẩu sách",
7426054dcc62deafc8aabac89d3ac9d9," ","Hiện đang chơi",
7c6f8050acafe3b864dd98bd15aa56c4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Để làm mới những cuốn sách trực tuyến",
b7ab64a7ff684cfca5e0a3d80880f279," ","Thiết đặt",
1f0e26f231153036a671ad2f933a27a5," ","Có thể được ẩn trong nút xem lại các thiết lập",
bde6c81a3b0a603a7b5e6076022bd309," ","Danh sách đọc gần đây là trống rỗng",
caf25bae18d07f446f0e42f85e6ec655,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Làm mới danh sách tất cả chương",
3597ff87db02577b3cf2244ac606a9e4,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Làm mới danh sách và tải về tất cả các chương sau đây",
a03e5f2c05b83301fa39dc34b1746453," ","Cung cấp cho chúng tôi năm sao nhà",
8554827fedb4de78bf8468538d4a8ee3," ","Tại đọc",
09b54a312f22d292db00a52b0bb234bf,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Từ Internet tìm tiểu thuyết",
65602d35795175e0705fc6741f913d8f," ","Đang nhập",
dab7c7312c2b67e5fb662ee8b6cec88f," ","Thông tin sách",
357cd9b4ae444db10f171a0a7b400422," ","Tôi biết",
6b8cf70efcf4cb1e6a0b877285fc722a," ","Cố định vào màn hình bắt đầu",
90b67b9235306593ddccbe9e7c6b217b," ","Thêm &Dấu trang",
83d79edb934c031d5e90545b8d4d51d8," ","Tự động cuộn",
a42be224ca6e69ada340d6dc5a300e46," ","Ngừng di chuyển",
d09c379751c8ee1acf635d1b09652923," ","Nền đọc",
d800fe938c9dde01729fe00c51a107ed," ","Thể loại",
00a6ae0599ff039144806cb3266a903b," ","không thể để trống",
14ede1b3aff131126cca56ec989ae922," ","Bắt đầu nền đọc aloud hoặc bình thường? Bạn có thể đi đến các cài đặt âm thanh để thiết lập các tùy chọn mặc định",
af750e87dfda463f31b124cba06aec7a," ","Đầu tiên bật tắt tự động cuộn",
be93c95267d493e0ca36dd41e8aeb1db," ","Tải xuống hoàn tất!",
6acb3b449c78553f9e8de3dca2590fda,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Tải dừng lại!",
96bb35efbd97e973584fc400bc155c1b,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Tải xuống các chương sau đây",
58a121c10ccd0755d0874e9d8c591918,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Chương {0} đang được tải xuống, tổng số {1} chương, và các chương {2} không được tải xuống.",
1b60f059d3cd9ec288545faf95dc285b," ","Nhập đánh dấu tên.",
cb5e100e5a9a3e7f6d1fd97512215282," ","lỗi",
42010dfe34d331018d5eea58fa048f64," ","Thất bại để vào chế độ toàn màn hình",
38b9440651a9409acc71403f02ddb7c8," ","Nhập \ để thoát khỏi chế độ toàn màn hình",
c9830f3b0470e0006c6eda9f4a14e821,"You needn't translate the text. Unless you turn on the online book function for Chinese users","Bạn không cần phải cài đặt các gói phần mềm Trung Quốc bằng giọng nói, bạn vui lòng vào cài đặt (không phải cho việc thiết lập) cài đặt >thoại >cài đặt nâng cao, kiểm tra xem các ngôn ngữ tiếng nói Trung Quốc.",
a3e02fa1a6cdd74b97174003c1346827," ","Đã đạt đến trang đầu tiên",
